csv_line,recipe_id,recipe_name,concept_key,priced_concept_key,resolution_tier,picked_sku,issue_type,severity,message,expected
7,478938,Sticky Bagels,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
14,40465,Heart's Desire Mini Pizzas,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
26,513007,Carrot Bean Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
34,17525,Chili-Cheese Burritos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
61,36597,Beans 'n Wiener Biscuit Casserole,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
63,36597,Beans 'n Wiener Biscuit Casserole,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
80,237670,Baked Stuffed Hot Dogs with Cheesy Pork Beans,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
81,237670,Baked Stuffed Hot Dogs with Cheesy Pork Beans,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
101,255782,Canadian Cheese Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
109,255782,Canadian Cheese Soup,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
112,229067,Spicy Hot Dog Bites,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
128,403157,Homemade Bagels,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
135,340732,Donkey Tails,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
168,203551,Vegetable Cheesy Chowder,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
171,203551,Vegetable Cheesy Chowder,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
182,159640,Chunky Tomato Soup,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
189,159640,Chunky Tomato Soup,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
207,343541,Hearty Navy Bean Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
214,184865,Hot Dog Casserole,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
223,68832,Pineapple Oatmeal,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
246,38317,Crock Pot Venison Roast,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
254,204152,Crunchy Taco Salad,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
268,204342,Baked Veggie Quesadillas,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
292,281445,Creamy Broccoli Cheese Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
344,170432,Normaway French Toast,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
349,235257,Baked Oatmeal,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
368,208401,Crispy Potato and Jalapeño Rolled Tacos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
385,311697,Wisconsin Cheese Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
391,311697,Wisconsin Cheese Soup,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
396,265052,Easy Cheesy Bean Burritos (Low-Fat),Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
398,265052,Easy Cheesy Bean Burritos (Low-Fat),Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
416,182898,Black Bean and Cheese Enchiladas,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
423,182898,Black Bean and Cheese Enchiladas,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
464,101707,Grilled Onion and Cheese Sandwich with Mayo,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
484,393990,Classic Buttermilk Pancakes,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
496,346128,Bean and Cheese Enchiladas,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
553,319445,Taco and Black Bean Salad,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
554,319445,Taco and Black Bean Salad,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
559,425188,Spicy Eggs Rancheros,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
563,425188,Spicy Eggs Rancheros,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
576,431507,Shrimp Tacos With Spicy Onion Slaw,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
586,431507,Shrimp Tacos With Spicy Onion Slaw,Produce > Fruit > Limes|7235000=,Produce > Fruit > Limes|7235000=,path_only,"Ocean Spray® Citrus Splash – Grapefruit, Lemon and Lime 50.7",wrong_class,blocker,Fresh lime concept selected beverage/juice product.,fresh limes
592,107107,Grilled Cheese Surprise Breakfast,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
595,388009,Homemade Chicken Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
624,15780,Quick Mexican Pizza,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
638,199293,Creamy Baked Potato Soup,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
645,213721,Myanmar Burritos,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
652,213721,Myanmar Burritos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
664,480100,Breakfast in a Cup,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
672,118172,Macaroni and Cheese Soup,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
705,202709,Chorizo Cilantro Soft Tacos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
707,66487,Overnight Baked French Toast,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
722,473964,Black Bean Breakfast Burritos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
723,473964,Black Bean Breakfast Burritos,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
749,416483,Black Bean Quesadillas,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
762,200495,Not Your Typical Sweet Bread (ABM),Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
798,290890,Huevos con Burrito,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
800,290890,Huevos con Burrito,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
829,331481,Chinese Pancake (Ham and Egg Pancakes with Cheddar,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
836,323556,Southwest Bean Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
903,411196,Creamy Black Bean Blender Soup,Produce > Fruit > Limes|7235000=,Produce > Fruit > Limes|7235000=,path_only,"Ocean Spray® Citrus Splash – Grapefruit, Lemon and Lime 50.7",wrong_class,blocker,Fresh lime concept selected beverage/juice product.,fresh limes
930,278632,Easy Black Bean Burgers,Pantry > Sauces & Salsas > Hot Pepper Sauce|F69N600Z,Pantry > Sauces & Salsas > Hot Pepper Sauce|F69N600Z,form_only,"Knorr Professional Hollandaise Sauce Mix, Shelf Stable, Vege",wrong_class,blocker,Hot pepper sauce concept selected hollandaise sauce mix.,hot pepper sauce
933,278632,Easy Black Bean Burgers,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
970,296777,Whole Grain Pancakes,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
1011,275129,Winter Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1026,242536,Easy Veggie Pizza with Cream Cheese Crust,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1030,324316,7-Layer Dip Bagels,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1045,48493,Possum's BLT Sandwich,Meat & Seafood > Bacon|24020000,Meat & Seafood > Bacon|24020000,exact,MorningStar Farms® Veggie Breakfast Original Meatless Bacon ,wrong_class,blocker,Bacon concept selected plant-based/meatless bacon.,pork bacon unless recipe asks plant-based
1052,117405,Bacon Corn Pancakes,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
