parent_group,parent_family,sub_family_code,sub_family_name,canonical_path_pattern,rank_start,rank_end,distinct_foods,total_rows,reason
1,1,1,11 rank chunk 1,*,1,900,900,19157,overflow_subdivision
1,1,6,11 rank chunk 2,*,901,916,16,16,overflow_subdivision
1,5,5,15 rank chunk 1,*,1,900,900,13052,overflow_subdivision
1,5,7,15 rank chunk 2,*,901,1800,900,900,overflow_subdivision
1,5,8,15 rank chunk 3,*,1801,2697,897,897,overflow_subdivision
2,0,0,20 rank chunk 1,*,1,900,900,3394,overflow_subdivision
2,0,7,20 rank chunk 2,*,901,1276,376,376,overflow_subdivision
2,4,4,24 rank chunk 1,*,1,900,900,8771,overflow_subdivision
2,4,8,24 rank chunk 2,*,901,1800,900,900,overflow_subdivision
2,4,9,24 rank chunk 3,*,1801,2145,345,345,overflow_subdivision
3,0,0,30 rank chunk 1,*,1,900,900,3416,overflow_subdivision
3,0,3,30 rank chunk 2,*,901,1415,515,515,overflow_subdivision
4,0,0,40 rank chunk 1,*,1,900,900,8074,overflow_subdivision
4,0,1,40 rank chunk 2,*,901,1800,900,900,overflow_subdivision
4,0,2,40 rank chunk 3,*,1801,2090,290,290,overflow_subdivision
5,0,0,50 rank chunk 1,*,1,900,900,3000,overflow_subdivision
5,0,1,50 rank chunk 2,*,901,915,15,15,overflow_subdivision
6,0,0,60 rank chunk 1,*,1,900,900,3384,overflow_subdivision
6,0,B,60 rank chunk 2,*,901,1033,133,133,overflow_subdivision
7,0,0,70 rank chunk 1,*,1,900,900,3958,overflow_subdivision
7,0,A,70 rank chunk 2,*,901,969,69,69,overflow_subdivision
8,0,0,80 rank chunk 1,*,1,900,900,8952,overflow_subdivision
8,0,B,80 rank chunk 2,*,901,1800,900,900,overflow_subdivision
8,0,C,80 rank chunk 3,*,1801,2562,762,762,overflow_subdivision
8,3,3,83 rank chunk 1,*,1,900,900,6629,overflow_subdivision
8,3,D,83 rank chunk 2,*,901,1800,900,900,overflow_subdivision
8,3,E,83 rank chunk 3,*,1801,1852,52,52,overflow_subdivision
8,4,4,84 rank chunk 1,*,1,900,900,3656,overflow_subdivision
8,4,F,84 rank chunk 2,*,901,1100,200,200,overflow_subdivision
8,6,6,86 rank chunk 1,*,1,900,900,6531,overflow_subdivision
8,6,G,86 rank chunk 2,*,901,1091,191,191,overflow_subdivision
8,7,7,87 rank chunk 1,*,1,900,900,5255,overflow_subdivision
8,7,H,87 rank chunk 2,*,901,1800,900,900,overflow_subdivision
8,7,J,87 rank chunk 3,*,1801,1838,38,38,overflow_subdivision
9,0,0,90 rank chunk 1,*,1,900,900,5904,overflow_subdivision
9,0,1,90 rank chunk 2,*,901,932,32,32,overflow_subdivision
A,0,0,A0 rank chunk 1,*,1,900,900,16483,overflow_subdivision
A,0,1,A0 rank chunk 2,*,901,1800,900,1273,overflow_subdivision
A,0,2,A0 rank chunk 3,*,1801,2700,900,900,overflow_subdivision
A,0,3,A0 rank chunk 4,*,2701,3102,402,402,overflow_subdivision
C,0,0,C0 rank chunk 1,*,1,900,900,5726,overflow_subdivision
C,0,1,C0 rank chunk 2,*,901,1162,262,262,overflow_subdivision
D,0,0,D0 rank chunk 1,*,1,900,900,4130,overflow_subdivision
D,0,B,D0 rank chunk 2,*,901,1056,156,156,overflow_subdivision
D,1,1,D1 rank chunk 1,*,1,900,900,10812,overflow_subdivision
D,1,C,D1 rank chunk 2,*,901,1800,900,900,overflow_subdivision
D,1,D,D1 rank chunk 3,*,1801,1950,150,150,overflow_subdivision
D,2,2,D2 rank chunk 1,*,1,900,900,11566,overflow_subdivision
D,2,E,D2 rank chunk 2,*,901,1095,195,195,overflow_subdivision
D,3,3,D3 rank chunk 1,*,1,900,900,4223,overflow_subdivision
D,3,F,D3 rank chunk 2,*,901,969,69,69,overflow_subdivision
D,4,4,D4 rank chunk 1,*,1,900,900,5292,overflow_subdivision
D,4,G,D4 rank chunk 2,*,901,1278,378,378,overflow_subdivision
D,6,6,D6 rank chunk 1,*,1,900,900,5198,overflow_subdivision
D,6,H,D6 rank chunk 2,*,901,1058,158,158,overflow_subdivision
E,6,6,E6 rank chunk 1,*,1,900,900,4771,overflow_subdivision
E,6,7,E6 rank chunk 2,*,901,1800,900,900,overflow_subdivision
E,6,9,E6 rank chunk 3,*,1801,2700,900,900,overflow_subdivision
E,6,A,E6 rank chunk 4,*,2701,3008,308,308,overflow_subdivision
F,0,0,F0 rank chunk 1,*,1,900,900,3987,overflow_subdivision
F,0,C,F0 rank chunk 2,*,901,1767,867,867,overflow_subdivision
F,6,6,F6 rank chunk 1,*,1,900,900,10313,overflow_subdivision
F,6,D,F6 rank chunk 2,*,901,1800,900,1530,overflow_subdivision
F,6,E,F6 rank chunk 3,*,1801,2700,900,900,overflow_subdivision
F,6,F,F6 rank chunk 4,*,2701,3600,900,900,overflow_subdivision
F,6,G,F6 rank chunk 5,*,3601,4500,900,900,overflow_subdivision
F,6,H,F6 rank chunk 6,*,4501,5400,900,900,overflow_subdivision
F,6,J,F6 rank chunk 7,*,5401,6056,656,656,overflow_subdivision
F,9,9,F9 rank chunk 1,*,1,900,900,6306,overflow_subdivision
F,9,K,F9 rank chunk 2,*,901,1076,176,176,overflow_subdivision
G,0,0,G0 rank chunk 1,*,1,900,900,26863,overflow_subdivision
G,0,1,G0 rank chunk 2,*,901,1800,900,3001,overflow_subdivision
G,0,2,G0 rank chunk 3,*,1801,2700,900,1775,overflow_subdivision
G,0,3,G0 rank chunk 4,*,2701,3600,900,900,overflow_subdivision
G,0,4,G0 rank chunk 5,*,3601,4500,900,900,overflow_subdivision
G,0,5,G0 rank chunk 6,*,4501,5400,900,900,overflow_subdivision
G,0,6,G0 rank chunk 7,*,5401,6300,900,900,overflow_subdivision
G,0,7,G0 rank chunk 8,*,6301,7200,900,900,overflow_subdivision
G,0,8,G0 rank chunk 9,*,7201,7263,63,63,overflow_subdivision
H,0,0,H0 rank chunk 1,*,1,900,900,6019,overflow_subdivision
H,0,B,H0 rank chunk 2,*,901,1800,900,1129,overflow_subdivision
H,0,C,H0 rank chunk 3,*,1801,2700,900,900,overflow_subdivision
H,0,D,H0 rank chunk 4,*,2701,3600,900,900,overflow_subdivision
H,0,E,H0 rank chunk 5,*,3601,4500,900,900,overflow_subdivision
H,0,F,H0 rank chunk 6,*,4501,5400,900,900,overflow_subdivision
H,0,G,H0 rank chunk 7,*,5401,5887,487,487,overflow_subdivision
H,1,1,H1 rank chunk 1,*,1,900,900,3995,overflow_subdivision
H,1,H,H1 rank chunk 2,*,901,1562,662,662,overflow_subdivision
H,2,2,H2 rank chunk 1,*,1,900,900,2463,overflow_subdivision
H,2,J,H2 rank chunk 2,*,901,1800,900,900,overflow_subdivision
H,2,K,H2 rank chunk 3,*,1801,1992,192,192,overflow_subdivision
H,3,3,H3 rank chunk 1,*,1,900,900,5586,overflow_subdivision
H,3,M,H3 rank chunk 2,*,901,1800,900,900,overflow_subdivision
H,3,N,H3 rank chunk 3,*,1801,2700,900,900,overflow_subdivision
H,3,P,H3 rank chunk 4,*,2701,2797,97,97,overflow_subdivision
H,4,4,H4 rank chunk 1,*,1,900,900,1960,overflow_subdivision
H,4,Q,H4 rank chunk 2,*,901,1514,614,614,overflow_subdivision
H,5,5,H5 rank chunk 1,*,1,900,900,2435,overflow_subdivision
H,5,R,H5 rank chunk 2,*,901,1592,692,692,overflow_subdivision
J,0,0,J0 rank chunk 1,*,1,900,900,62403,overflow_subdivision
J,0,1,J0 rank chunk 2,*,901,1800,900,9327,overflow_subdivision
J,0,2,J0 rank chunk 3,*,1801,2700,900,5212,overflow_subdivision
J,0,3,J0 rank chunk 4,*,2701,3600,900,3740,overflow_subdivision
J,0,4,J0 rank chunk 5,*,3601,4500,900,2700,overflow_subdivision
J,0,5,J0 rank chunk 6,*,4501,5400,900,2199,overflow_subdivision
J,0,6,J0 rank chunk 7,*,5401,6300,900,1800,overflow_subdivision
J,0,7,J0 rank chunk 8,*,6301,7200,900,1800,overflow_subdivision
J,0,8,J0 rank chunk 9,*,7201,8100,900,1601,overflow_subdivision
J,0,9,J0 rank chunk 10,*,8101,9000,900,900,overflow_subdivision
J,0,A,J0 rank chunk 11,*,9001,9900,900,900,overflow_subdivision
J,0,B,J0 rank chunk 12,*,9901,10800,900,900,overflow_subdivision
J,0,C,J0 rank chunk 13,*,10801,11700,900,900,overflow_subdivision
J,0,D,J0 rank chunk 14,*,11701,12600,900,900,overflow_subdivision
J,0,E,J0 rank chunk 15,*,12601,13500,900,900,overflow_subdivision
J,0,F,J0 rank chunk 16,*,13501,14400,900,900,overflow_subdivision
J,0,G,J0 rank chunk 17,*,14401,15300,900,900,overflow_subdivision
J,0,H,J0 rank chunk 18,*,15301,16200,900,900,overflow_subdivision
J,0,J,J0 rank chunk 19,*,16201,17100,900,900,overflow_subdivision
J,0,K,J0 rank chunk 20,*,17101,18000,900,900,overflow_subdivision
J,0,M,J0 rank chunk 21,*,18001,18900,900,900,overflow_subdivision
J,0,N,J0 rank chunk 22,*,18901,19800,900,900,overflow_subdivision
J,0,P,J0 rank chunk 23,*,19801,20661,861,861,overflow_subdivision
