rank,token1,token2,frequency,axis_token1,axis_token2,sample_titles
1,semi,sweet,446,,STOPWORD,SEMI-SWEET CHOCOLATE BAKED INTO FUDGE BROWNIE PERFECTION WITH SWEET PINK AND WHITE FROSTIN || SEMI-SWEET CHOCOLATE BAKED INTO FUDGE BROWNIE PERFECTION WITH BLACK AND ORANGE FROSTING AN
2,flamin,hot,425,,STOPWORD,"CHICKEN BREAST FRIES, FLAMIN' HOT || BREADED CHICKEN WING SECTIONS FLAMIN' HOT WINGS"
3,atlantic,salmon,321,,CATEGORY,ATLANTIC SALMON TSUNAMI BURRITO || ATLANTIC SALMON FRITTATA
4,harris,teeter,305,,,"HARRIS TEETER, BAKED BEANS, MAPLE , BACON || HARRIS TEETER, HOME STYLE BAKED BEANS"
5,steam,in,299,,STOPWORD,"SEASONED GARBANZO BEAN, LENTIL & TOMATO ORGANIC STEAM IN BAG BLEND, SEASONED GARBANZO BEAN || STEAM-IN-BAG CLASSIC VEGETABLES CUT GREEN BEANS"
6,penne,rigate,289,DISH_TYPE,,"RUSTICHELLA D'ABRUZZO, PENNE RIGATE PASTA, ITALIAN MACARONI PRODUCT || BRONZE DIE ORGANIC PENNE RIGATE PASTA"
7,birds,eye,282,,,"Birds Eye Skillets Garlic Butter Green Beans, Frozen Vegetable, 11 oz. Bag || Birds Eye Steamfresh Cut Green Beans, Frozen Vegetables, 10 oz. Bag"
8,simmer,sauce,275,,FORM,"KOREAN INSPIRED BEEF FRESH CABBAGE, BABY SPINACH & CARROTS, BROWN RICE, SEASONED BEEF, AND || PUNJABI STYLE BUTTER CHICKEN COOKING SAUCE FOR CHICKEN WITH CREAM AND BUTTER, INFUSED WITH"
9,snyder,of,273,,STOPWORD,"SNYDER'S OF HANOVER, SALSA CON QUESO, MEDIUM, MEDIUM || SNYDER OF BERLIN, POP CORN, CHEESE, CHEESE"
10,whipping,cream,267,,COLOR,"ABDALLAH, WHIPPING CREAM TRUFFLE, RASPBERRY, RASPBERRY || PLANT CREAM HEAVY WHIPPING CREAM ALTERNATIVE"
11,tri,color,265,,,"TRI-COLOR ORGANIC KIDNEY, PINTO, BLACK BEANS, TRI-COLOR || TRI-COLOR ORGANIC KIDNEY, PINTO, BLACK BEANS, TRI-COLOR"
12,of,hanover,265,STOPWORD,,"SNYDER'S OF HANOVER, SALSA CON QUESO, MEDIUM, MEDIUM || SNYDER'S OF HANOVER, POTATO CHIPS, KOSHER DILL, KOSHER DILL"
13,rising,crust,264,,STOPWORD,"PHILLY STEAK SLICED STEAK, CARAMELIZED ONION, GREEN PEPPER, MOZZARELLA, PROVOLONE, CHEESE  || BACON JALAPENO RISING CRUST PIZZA, BACON JALAPENO"
14,stone,ground,257,,PREPARATION_STATE,ENRICHED STONE GROUND SELF-RISING WHITE CORN MEAL MIX || STONE GROUND CORNBREAD MIX AND CORNMEAL MUFFIN MIX
15,pork,rinds,256,CATEGORY,,"SANCOCHO CHICHARRONES LARGE PORK RINDS, SANCOCHO || OVEN BAKED PORK RINDS, CILANTRO LIME"
16,pulled,pork,252,,CATEGORY,"PULLED PORK BAR || PULLED PORK JERKY, SMOKE"
17,crinkle,cut,250,,CUT,"CINNAMON UNIQUELY CRINKLE CUT ORGANIC RED APPLE CHIPS, CINNAMON || SALTED CRINKLE CUT BANANA CHIPS, SALTED"
18,cage,free,248,,STOPWORD,"GRIDDLE PANCAKE BREAKFAST PLANT BASED SAUSAGE WITH CAGE FREE EGGS AND VEGAN CHEESE SAUCE T || CAGE-FREE SCRAMBLED EGGS, POTATOES, AND CHEDDAR CHEESE NOW COME WITH A SIDE OF OUR DELICIO"
19,movie,theater,246,,,"Gushers Valentines Movie Theater Box Fruit Flavored Snacks || RED BARN, MOVIE THEATER POPPED CORN, BUTTER, BUTTER"
20,manzanilla,olives,244,,CATEGORY,"SARDINES IN EXTRA VIRGIN OLIVE OIL WITH SLICED SPANISH MANZANILLA OLIVES, EXTRA VIRGIN OLI || SARDINES IN EXTRA VIRGIN OLIVE OIL WITH SLICED SPANISH MANZANILLA OLIVES, EXTRA VIRGIN OLI"
21,yogurt,alternative,241,FORM,,"APPLE CINNAMON FLAVORED 25% LESS SUGAR ALMONDMILK YOGURT ALTERNATIVE, APPLE CINNAMON || VANILLA ALMONDMILK YOGURT ALTERNATIVE, VANILLA"
22,giant,eagle,233,STOPWORD,,"GIANT EAGLE, RED DELICIOUS APPLES || GIANT EAGLE, SLICED BACON"
23,corned,beef,233,,CATEGORY,"LIBBYS Corned Beef With Onion, 12 OZ || LIBBYS Corned Beef With Chili, 12 OZ"
24,dipping,sauce,231,,FORM,"PANCAKE BREAKFAST PORK AND TURKEY & A MAPLE FLAVORED DIPPING SAUCE FULLY COOKED SAUSAGE LI || 5-CHEESE MOZZARELLA, RICOTTA, PROVOLONE, PARMESAN & ROMANO CHEESES STUFFED IN A GOLDEN CRU"
25,pork,skins,229,CATEGORY,,"PORK SKINS CHICHARRONES, CHORIZO SEASONING || CHILI & LIME PLANTAIN AND PORK SKINS WITH CASSAVA CHIPS PARTY MIX, CHILI & LIME"
26,sports,drink,226,,STOPWORD,"STRAWBERRY BANANA SPORTS DRINK, STRAWBERRY; BANANA || STRAWBERRY BANANA SPORTS DRINK, STRAWBERRY; BANANA"
27,raw,unfiltered,224,PREPARATION_STATE,,"BLACK GUM TUPELO HOLLY BLEND RAW & UNFILTERED HONEY, BLACK GUM TUPELO HOLLY BLEND || ACTIVATED CHARCOAL WITH RAW & UNFILTERED APPLE CIDER VINEGAR, APPLE CIDER"
28,green,chilies,223,COLOR,,"FRESH FROZEN BAJA ROASTED CORN, CORN, BLACK BEANS, RED PEPPERS, GREEN PEPPERS, ROASTED ONI || MEDIUM MEXICAN COWBOY PINTO BEANS SLOW SIMMERED WITH TOMATO, GREEN CHILIES AND SPICES, MED"
29,new,orleans,221,STOPWORD,,"NEW ORLEANS STYLE SAUCED RED BEANS WITH PEPPERS, ONIONS & CREOLE SEASONING, NEW ORLEANS ST || NEW ORLEANS STYLE SAUCED RED BEANS WITH PEPPERS, ONIONS & CREOLE SEASONING, NEW ORLEANS ST"
30,theater,butter,220,,FORM,"ORVILLE MOVIE THEATER BUTTER POP UP BOWL || ACT II Movie Theater Butter, 16.5 OZ"
31,caramel,macchiato,218,FORM,,"CARAMEL MACCHIATO FLAVORED ALMOND MILK CHILLED ESPRESSO BEVERAGE, CARAMEL MACCHIATO || CARAMEL MACCHIATO FLAVORED ALMOND MILK CHILLED ESPRESSO BEVERAGE, CARAMEL MACCHIATO"
32,de,leche,218,STOPWORD,,"DULCE DE LECHE CAKE FLAVORED TREAT DESSERT BARS, DULCE DE LECHE CAKE || DULCE DE LECHE CAKE FLAVORED TREAT DESSERT BARS, DULCE DE LECHE CAKE"
33,dragon,fruit,216,,FLAVOR_UNIVERSAL,"SUN MIX BANANA, PINEAPPLE, DRAGON FRUIT, SUN MIX || EXOTICS GUMMIES, LEMON STAR FRUIT, MANDARIN ORANGE, ASIAN PEAR, FUJI APPLE, RASPBERRY DRAG"
34,sugar,snap,214,SWEETENER,,"LIGHTLY SAUCED HEALTHY WEIGHT SLICED CARROTS, SUGAR SNAP PEAS, BLACK BEANS AND EDAMAME LIG || HEALTHY WEIGHT CARROTS, SUGAR SNAP PEAS, BLACK BEANS & EDAMAME, HEALTHY WEIGHT"
35,dulce,de,213,,STOPWORD,"DULCE DE LECHE CAKE FLAVORED TREAT DESSERT BARS, DULCE DE LECHE CAKE || DULCE DE LECHE CAKE FLAVORED TREAT DESSERT BARS, DULCE DE LECHE CAKE"
36,granulated,sugar,213,,SWEETENER,"GOLDEN PURE CANE GRANULATED SUGAR, GOLDEN || ORGANIC VERMONT MAPLE GRANULATED SUGAR, MAPLE"
37,heavy,whipping,211,STORAGE,,PLANT CREAM HEAVY WHIPPING CREAM ALTERNATIVE || DAIRY FREE HEAVY WHIPPING CREAM ALTERNATIVE
38,el,paso,208,STOPWORD,,Old El Paso Mini Flour Tortilla Bowl Mexican Dinner Kit || Old El Paso Bold Nacho Cheese Shell & Soft Tortilla Taco Dinner Kit
39,snap,peas,203,,CATEGORY,"LIGHTLY SAUCED HEALTHY WEIGHT SLICED CARROTS, SUGAR SNAP PEAS, BLACK BEANS AND EDAMAME LIG || HEALTHY WEIGHT CARROTS, SUGAR SNAP PEAS, BLACK BEANS & EDAMAME, HEALTHY WEIGHT"
40,candy,dispenser,203,FORM,,"GALERIE, CANDY DISPENSER FILLED WITH CANDY PIECES || CANDY DISPENSER FILLED WITH CANDY PIECES"
41,sockeye,salmon,202,,CATEGORY,"SMOKED SOCKEYE SALMON SPREAD, SMOKED SOCKEYE SALMON || SMOKED SOCKEYE SALMON SPREAD, SMOKED SOCKEYE SALMON"
42,pad,thai,201,,CUISINE,"FRESH CARROT NOODLE PAD THAI BOWL, CRUNCHY, SWEET AND SAVORY! || CHICKEN PAD THAI KIT"
43,meal,replacement,198,FORM,,"BANANAS & CREAM FLAVORED ADVANCED NUTRITION MEAL REPLACEMENT SHAKE, BANANAS & CREAM || CHOCOLATEY CRISPY COOKIE DOUGH FLAVORED BAKE SHOP MEAL REPLACEMENT BARS, CHOCOLATEY CRISPY"
44,ghost,pepper,198,,BRAND_NOISE,"WILD CHERRY GHOST PEPPER HARD CANDY, WILD CHERRY || GHOST PEPPER KETCHUP"
45,egg,whites,195,FORM,,"DARK CHOCOLATE SEA SALT 3 EGG WHITES FRUITS AND NUTS BAR, DARK CHOCOLATE SEA SALT || DARK CHOCOLATE SEA SALT 3 EGG WHITES FRUITS AND NUTS PROTEIN BAR, DARK CHOCOLATE"
46,artificially,flavored,193,,FLAVOR_UNIVERSAL,"TEXAS STYLE ARTIFICIALLY FLAVORED BISCUITS, BUTTERMILK || TREAT SHOP DOUBLE LAYERED ARTIFICIALLY FLAVORED VANILLA CAKE, ICED WITH NATURALLY AND ARTI"
47,self,rising,192,STOPWORD,,ENRICHED STONE GROUND SELF-RISING WHITE CORN MEAL MIX || BONICI Readi Rise  Self-Rising Pizza Dough 12 Inch
48,lowes,foods,189,,STOPWORD,"LOWES FOODS, ORIGINAL APPLESAUCE || LOWES FOODS, NATURAL UNSWEETENED APPLESAUCE"
49,stewed,tomatoes,189,,CATEGORY,"HUNTS Stewed Tomatoes No Salt Added, 14.5 OZ || HUNTS Stewed Tomatoes, 14.5 OZ"
50,steel,cut,188,,CUT,"STEEL CUT OATS & HONEY HEALTHFULL BREAD, STEEL CUT OATS & HONEY || STEEL CUT OATS & HONEY HEALTHFULL BREAD, STEEL CUT OATS & HONEY"
51,non,alcoholic,186,STOPWORD,,"IRISH CREAM NON-ALCOHOLIC LOAF CAKE, IRISH CREAM || ORIGINAL IRISH CREAM NON-ALCOHOLIC CHOCOLATE TRUFFLES, ORIGINAL IRISH CREAM"
52,wavy,potato,186,,CATEGORY,"BUFFALO BLUE CHEESE FLAVORED WAVY POTATO CHIPS, BUFFALO BLUE CHEESE || ORIGINAL FLAVOR WAVY POTATO CHIPS, ORIGINAL"
53,de,gallo,183,STOPWORD,,"BRISKET DIP WITH CHEESE, PICO DE GALLO, & BEEF BRISKET, BRISKET || Lay's Pico de Gallo Potato Chips 2.875 Ounces"
54,conversation,hearts,183,,FORM,"CONVERSATION HEARTS ICED BROWNIES || CLASSIC CONVERSATION HEARTS, CLASSIC"
55,cape,cod,181,,CATEGORY,"FRESHLY FROZEN CAPE COD STYLE VEGETABLES WITH CARROTS, CORN & LIMA BEANS, CAPE COD STYLE || FRESHLY FROZEN CAPE COD STYLE VEGETABLES WITH CARROTS, CORN & LIMA BEANS, CAPE COD STYLE"
56,deep,dish,178,STOPWORD,,"Pillsbury All Vegetable Deep Dish Pie Crusts 2 Count || BROOKSHIRE'S, DEEP DISH PIE CRUSTS"
57,queso,fresco,177,FORM,,"RICED CAULIFLOWER BURRITO BLEND WITH QUESO FRESCO, RICED CAULIFLOWER BURRITO WITH QUESO FR || RICED CAULIFLOWER BURRITO BLEND WITH QUESO FRESCO, RICED CAULIFLOWER BURRITO WITH QUESO FR"
58,popping,corn,177,,CATEGORY,"EXTRA CHEESE GOURMET POPPING CORN, EXTRA CHEESE || HOT AIR CHAUD GOURMET POPPING CORN, HOT AIR CHAUD"
59,cascadian,farm,176,,STOPWORD,Cascadian Farm Organic Black Beans || Cascadian Farm Organic Multi-Colored Carrots
60,water,chestnuts,173,CATEGORY,,"CREAMY SPINACH DIP WITH SOUR CREAM AND WATER CHESTNUTS, CREAMY || SPINACH, MAYONNAISE, SOUR CREAM, WATER CHESTNUTS, ONIONS, & GREEN ONIONS DIP, SPINACH"
61,pico,de,172,,STOPWORD,"BRISKET DIP WITH CHEESE, PICO DE GALLO, & BEEF BRISKET, BRISKET || Lay's Pico de Gallo Potato Chips 2.875 Ounces"
62,general,tso,170,,,GENERAL TSO BEEF WITH SEASONED COOKED BEEF IN A SPICY SAUCE WITH WHITE RICE AND FIRE ROAST || GENERAL TSO BEEF WITH SEASONED COOKED BEEF IN A SPICY SAUCE WITH WHITE RICE AND FIRE ROAST
63,unfiltered,honey,167,,SWEETENER,"BLACK GUM TUPELO HOLLY BLEND RAW & UNFILTERED HONEY, BLACK GUM TUPELO HOLLY BLEND || RAW UNFILTERED HONEY"
64,yerba,mate,165,,,"YERBA MATE || SUAVE BLEND MILD YERBA MATE TEA, HERBAL COFFEE ALTERNATIVE"
65,cheez,it,164,,,"CHEEZ-IT SNAP'D CHEESY BAKED SNACKS, 0.75 OZ, 20 COUNT, CHEDDAR; SOUR CREAM; ONION; CHEESE || CHEEZ-IT, GROOVES, CRISPY CRACKER CHIPS, SHARP WHITE CHEDDAR"
66,touch,of,163,,STOPWORD,"TOUCH OF HONEY APPLE SAUCE, TOUCH OF HONEY || TOUCH OF HONEY APPLE SAUCE, TOUCH OF HONEY"
67,pine,nuts,162,,FORM,"CHICKEN PESTO FLATBREAD WITH CHERRY TOMATOES, ARUGULA, AND PINE NUTS MEAL KIT, CHICKEN PES || SAVORY SHORTBREAD, SUN-DRIED TOMATO & PINE NUTS"
68,decorating,kit,161,,DISH_TYPE,CUPCAKE DECORATING KIT || CUPCAKE DECORATING KIT
69,everyday,value,160,,,"365 EVERYDAY VALUE, GRANNY SMITH APPLE SLICES || 365 EVERYDAY VALUE, ORGANIC, BLACK BEANS"
70,gold,emblem,156,BRAND_NOISE,,"GOLD EMBLEM, DRIED MEDITERRANEAN APRICOTS || GOLD EMBLEM, BAKING SODA"
71,tail,off,156,CUT,,"SHRIMP SCAMPI SUCCULENT TAIL-OFF SHRIMP IN AN AUTHENTIC BLEND OF REAL BUTTER, GARLIC AND S || POPCORN BREADED TAIL-OFF SHRIMP, POPCORN"
72,street,corn,154,,CATEGORY,"CHICKEN & ROASTED STREET CORN GRAIN FREE TORTILLA FILLED WITH PLANT BASED CHICKEN, ROASTED || CHICKEN & ROASTED STREET CORN GRAIN FREE TORTILLA FILLED WITH PLANT BASED CHICKEN, ROASTED"
73,marie,callenders,153,,,"MARIE CALLENDERS Mongolian Style Dinner, 13 OZ || MARIE CALLENDERS Double Chocolate Cake, 5.8 OZ"
74,sour,neon,152,STOPWORD,,"SOUR NEON WORMS FLAVORED CHEWY CANDY, SOUR NEON WORMS || SOUR NEON WORMS FLAVORED CHEWY CANDY, SOUR NEON WORMS"
75,kalamata,olives,149,,CATEGORY,"BREADSTICKS WITH KALAMATA OLIVES & OAT GRAINS || MEDITERRANEAN CHEDDAR WITH SUN DRIED TOMATOES, KALAMATA OLIVES, AND SPICES WISCONSIN CHEES"
76,monk,fruit,149,,FLAVOR_UNIVERSAL,"PUMPKIN SPICE MONK FRUIT ORGANIC ZERO-CALORIE LIQUID SWEETENER, PUMPKIN SPICE MONK FRUIT || PUMPKIN SPICE MONK FRUIT ORGANIC ZERO-CALORIE LIQUID SWEETENER, PUMPKIN SPICE MONK FRUIT"
77,starlight,mints,149,,BRAND_NOISE,"STARLIGHT MINTS CANDY || STARLIGHT MINTS CANDIES, STARLIGHT MINTS"
78,strawberry,rhubarb,148,CATEGORY,,"APPLE STRAWBERRY RHUBARB ORGANIC HAPPY IMMUNEZ, APPLE STRAWBERRY RHUBARB || APPLE STRAWBERRY RHUBARB ORGANIC HAPPY IMMUNEZ, APPLE STRAWBERRY RHUBARB"
79,donut,holes,148,FORM,,"BLUEBERRY OLD FASHION DONUT HOLES, BLUEBERRY || BLUEBERRY CAKE DONUT HOLES"
80,wish,bone,148,,CUT,"WISH-BONE, E.V.O.O. DRESSING, LEMON HERB, LEMON HERB || WISH-BONE, SPICY CAESAR DRESSING"
81,orange,blossom,146,CATEGORY,,"ROUNDY'S, CREME CAKE, ORANGE BLOSSOM, ORANGE BLOSSOM || ROUNDY'S, CREME CAKE, ORANGE BLOSSOM, ORANGE BLOSSOM"
82,meyer,lemon,145,,CATEGORY,"MEYER LEMON GLUTEN FREE BAR MIX, MEYER LEMON || MEYER LEMON GLUTEN FREE BAR MIX, MEYER LEMON"
83,european,style,145,,STOPWORD,"EUROPEAN STYLE FRENCH BAGUETTE ARTISAN RUSTIC, EUROPEAN STYLE FRENCH BAGUETTE || EUROPEAN STYLE FRENCH BAGUETTE ARTISAN RUSTIC, EUROPEAN STYLE FRENCH BAGUETTE"
84,crisped,rice,145,,CATEGORY,"CREAMY WITH CRISPED RICE MILK CHOCOLATE || CRISPED RICE CHOCOLATE CLUSTERS, CHOCOLATE"
85,cheese,curds,145,FORM,,"BACON RANCH CHEESE CURDS CELLAR, BACON RANCH || CHEESE CELLAR BACON SWEET BOURBON CHIPOTLE CHEESE CURDS, CHEESE CELLAR"
86,cup,pods,145,COMBO_FORMAT,,DARK ITALIAN ROAST ARABICA COFFEE K-CUP PODS || THE ORIGINAL DECAF MEDIUM ROAST COFFEE K-CUP PODS
87,cheese,curls,144,FORM,,"CRUNCHY CHEESE CURLS || PARTY FLAVORED WITH CORN CHIPS FRIED CHEESE CURLS, NACHO CHEESE FLAVORED TORTILLA CHIPS, P"
88,pitted,prunes,144,CUT,,"PITTED PRUNES, LEMON ESSENCE || Kroger Pitted Prunes Dried Plums 16oz Reclosable Canister"
89,gas,flushed,143,,,Apple Cider Cured Smoked Sliced Bacon Gas Flushed - Single Sliced - Layout || Hardwood Smoked Sugar Cured Buffet Bacon-Layered-Gas Flushed 10/14 15#
90,hash,browns,143,DISH_TYPE,,"BREAKFAST BAKES, STEAK, EGG & CHEESE HASH BROWNS || CHEESY SCRAMBLE WITH HASH BROWNS SCRAMBLED EGGS WITH CHEDDAR, MONTEREY JACK AND REDUCED FA"
91,keto,friendly,142,DIET,,"DARK CHOCOLATE NUT ENTREE KETO FRIENDLY BAR, DARK CHOCOLATE || PEANUT BUTTER ALMOND KETO FRIENDLY CHEWY BAR, PEANUT BUTTER ALMOND"
92,sour,patch,142,STOPWORD,,"SOUR PATCH, SOFT & CHEWY CANDY, SOUR APPLE, SOUR APPLE || SOUR PATCH SOFT CANDY FRUIT FAT FREE1X10 OZ"
93,ounce,paper,140,STOPWORD,,Quaker Yellow Cornmeal 24 Ounce Paper Canister || Aunt Jemima Buttermilk Corn Meal Mix 32 Ounce Paper Bag
94,madagascar,vanilla,140,,FLAVOR_UNIVERSAL,"HAZELNUTS & ALMONDS WITH MADAGASCAR VANILLA & A SPRINKLE OF SEA SALT, DIPPED IN DARK CHOCO || HAZELNUTS & ALMONDS WITH MADAGASCAR VANILLA & A SPRINKLE OF SEA SALT, DIPPED IN DARK CHOCO"
95,chick,peas,139,,CATEGORY,CHICK PEAS || CHICK PEAS IN SAUCE
96,devil,food,139,,STOPWORD,"DEVIL'S FOOD JUMBO HONEY BUN, DEVIL'S FOOD || DEVIL'S FOOD JUMBO HONEY BUN, DEVIL'S FOOD"
97,wood,fired,139,,PREPARATION_STATE,"BRIE CHEESE & BALSAMIC GLAZE WOOD-FIRED CRUST FLATBREAD WITH AN ITALIAN CHEESE SAUCE ON A  || PAISANO ARTISAN PESTO, SOPPRESSATA SALAMI, CALABRESE PEPPERS, SAUCE, MOZZARELLA CHEESE, IT"
98,wide,egg,138,,FORM,WIDE EGG NOODLES NOODLE PRODUCT || WIDE EGG NOODLES
99,kansas,city,137,CUISINE,,"KANSAS CITY STYLE BACON & BROWN SUGAR BBQ BAKED BEANS, KANSAS CITY STYLE BACON & BROWN SUG || KANSAS CITY STYLE BACON & BROWN SUGAR BBQ BAKED BEANS, KANSAS CITY STYLE BACON & BROWN SUG"
100,winco,foods,136,,STOPWORD,"WINCO FOODS, BAKING SODA || WINCO FOODS, INSTANT PUDDING & PIE FILLING, BANANA CREAM, BANANA CREAM"
101,clover,valley,135,,BRAND_NOISE,"CLOVER VALLEY, APPLESAUCE, STRAWBERRY || CLOVER VALLEY, APPLE SAUCE, APPLE, APPLE"
102,it,crackers,133,,FORM,Sunshine Cheez-It Crackers Sharp White Cheddar 3.25oz || Kellogg's Cheez It Crackers Grooves Sharp White Cheddar 17oz
103,clover,honey,131,,SWEETENER,"HONEY SPOONS CANDY MADE WITH REAL CLOVER HONEY, CLOVER HONEY || HONEY SPOONS CANDY MADE WITH REAL CLOVER HONEY, CLOVER HONEY"
104,st,louis,130,,,"CARAMEL APPLE ST. LOUIS BUTTER CAKE, CARAMEL APPLE || HOT BBQ FLAVORED ST. LOUIS STYLE WAVY POTATO CHIPS, HOT BBQ"
105,parmigiano,reggiano,130,,,"SPECIALTY, PARMIGIANO REGGIANO SHREDDED CHEESE, PARMIGIANO REGGIANO || SPECIALTY, PARMIGIANO REGGIANO SHREDDED CHEESE, PARMIGIANO REGGIANO"
106,saltine,crackers,129,,FORM,"BIG WIN, SALTED TOPS CRACKERS, SALTINE CRACKERS || ORIGINAL SALTINE CRACKERS"
107,pineapple,tidbits,128,CATEGORY,,"COCONUT GRANOLA TOPPING + PINEAPPLE TIDBITS IN SAUCE + COCONUT PUDDING PROTEIN PARFAIT, CO || MEXICAN STYLE PULLED PORK WITH PINEAPPLE SEASONED PULLED PORK WITH A CHIPOTLE-BASED SAUCE,"
108,blackeye,peas,125,,CATEGORY,"BLACKEYE PEAS WITH BACON, BLACKEYE WITH BACON || BLACKEYE PEAS FLAVORED WITH SLAB BACON, BLACKEYE PEAS"
109,paper,box,125,,STOPWORD,Quaker Select Starts Weight Control Banana Bread (8 - 1.58 Ounce) 12.64 Ounce 8 Pack Paper || Aunt Jemima Complete Buttermilk Pancake & Waffle Mix 32 Ounce Paper Box
110,russell,stover,125,,,"RUSSELL STOVER, BROWNIE HERAT || RUSSELL STOVER, CHOCOLATE WEDDING CAKE EGG CANDY"
111,arabica,coffee,125,,FORM,"MEDIUM ROAST BIRTHDAY CAKE UNSWEETENED COLD BREW 100% ARABICA COFFEE CONCENTRATE, BIRTHDAY || 70% CACAO DARK CHOCOLATE WITH ARABICA COFFEE, ARABICA COFFEE"
112,pecorino,romano,124,,CUISINE,"GLUTEN FREE SEASONED WITH PECORINO ROMANO CHEESE  CRUMBS || SEASONED GLUTEN FREE ITALIAN STYLE CRUMBS WITH PECORINO ROMANO CHEESE, SEASONED"
113,malted,milk,124,,FORM,"MALTED MILK CHOCOLATE CUPCAKE + FROSTING MIX || GINGERBREAD MALTED MILK BALLS, GINGERBREAD"
114,cracker,cuts,124,FORM,,"JALAPENO CHEDDAR CRACKER CUTS CHEESE, JALAPENO CHEDDAR || MARBLED SHARP CHEDDAR CHEESE CRACKER CUTS, MARBLED SHARP"
115,gourmet,popping,124,STOPWORD,,"EXTRA CHEESE GOURMET POPPING CORN, EXTRA CHEESE || HOT AIR CHAUD GOURMET POPPING CORN, HOT AIR CHAUD"
116,oz,carton,123,STOPWORD,,"Pacific Foods Organic Unsweetened Almond Milk, Plant Based Milk, 32 oz Carton || Pacific Foods Organic Unsweetened Vanilla Almond Milk, Plant Based Milk, 32 oz Carton"
117,rotisserie,seasoned,123,,PREPARATION_STATE,"ORIGINAL ROTISSERIE SLOW SMOKED, DRIED & SEASONED CHICKEN STRIP BAR, ORIGINAL ROTISSERIE S || ORIGINAL ROTISSERIE SEASONED CHICKEN STRIP SLOW SMOKED, DRIED & SEASONED CHICKEN BAR, ORIG"
118,manuka,honey,123,,SWEETENER,"HONEY CINNAMON SUPERGRAIN+ IMMUNITY BAR WITH TURMERIC & MANUKA HONEY, HONEY CINNAMON || GINGER DARK CHOCOLATE NEW ZEALAND MANUKA HONEY, GINGER"
119,crispety,crunchety,123,,,"ASSORTED CANDY, CREAMY MILK CHOCOLATE WITH CRISPED RICE, DRY ROASTED PEANUTS, RICH CARAMEL || CRISPETY, CRUNCHETY, PEANUT-BUTTERY BAR, PEANUT BUTTER"
