rank,token1,token2,frequency,axis_token1,axis_token2,sample_titles
120,crunchety,peanut,123,,CATEGORY,"ASSORTED CANDY, CREAMY MILK CHOCOLATE WITH CRISPED RICE, DRY ROASTED PEANUTS, RICH CARAMEL || CRISPETY, CRUNCHETY, PEANUT-BUTTERY BAR, PEANUT BUTTER"
121,slivered,almonds,123,,CATEGORY,"MOROCCAN SPICE ROLLED OATMEAL WITH GOLDEN RAISINS, DRIED APPLES, SLIVERED ALMONDS, CINNAMO || ROASTED TURKEY & VEGETABLES TURKEY TENDERLOINS & GRAVY, GREEN BEANS WITH CRANBERRIES & SLI"
122,shrimp,scampi,122,CATEGORY,,"SHRIMP SCAMPI WITH PASTA SHRIMP AND PASTA IN A CREAMY LEMON BUTTER SAUCE, SHRIMP SCAMPI WI || SHRIMP SCAMPI WITH PASTA SHRIMP AND PASTA IN A CREAMY LEMON BUTTER SAUCE, SHRIMP SCAMPI WI"
123,sun,maid,121,PREPARATION_STATE,,Sun-Maid Cinnamon Apple Bits & Raisins 18 oz Reasealable Standup Bag || Sun-Maid Mediterranean Pitted Dried Apricot 15oz Resealable Canister
124,take,bake,121,,PREPARATION_STATE,"HY-VEE, TAKE & BAKE ARTISAN, ASIAGO GARLIC || DEMI BAGUETTE TAKE & BAKE BREAD"
125,minced,pimiento,120,CUT,,STUFFED OLIVES MINCED PIMIENTO || SPANISH GREEN OLIVES STUFFED WITH MINCED PIMIENTO
126,pringles,crisps,119,,FORM,Pringles Crisps Screaming Dill 5.5oz || Pringles Crisps Snack Stacks Sour Cream & Onion .74oz
127,pretzel,rods,118,FORM,,"CARIBOU COFFEE, PRETZEL RODS DIPPED IN MILK CHOCOLATE AND WHITE CONFECTIONER'S COATING || CHOCOLATE & CARAMEL COVERED PRETZEL RODS, CHOCOLATE & CARAMEL"
128,chile,limon,118,CATEGORY,,"CHILE LIMON CHICKEN, CHILE LIMON || CHILE LIMON CHICKEN, CHILE LIMON"
129,with,crisped,117,STOPWORD,,"CREAMY WITH CRISPED RICE MILK CHOCOLATE || CREAMY MILK CHOCOLATE WITH CRISPED RICE NESTEGGS, CREAMY MILK"
130,lemon,meringue,116,CATEGORY,,"NUTRITION BAR, LEMON MERINGUE CRUNCH || LEMON MERINGUE PROTEIN ENERGY BARS, LEMON MERINGUE"
131,kung,pao,116,,,"KUNG PAO CHICKEN TENDER CHICKEN BREAST STRIPS PAIRED WITH A SOY-FREE KUNG PAO SAUCE, KUNG  || KUNG PAO CHICKEN TENDER CHICKEN BREAST STRIPS PAIRED WITH A SOY-FREE KUNG PAO SAUCE, KUNG "
132,swiss,miss,116,CUISINE,,"Angie's BOOMCHICKAPOP Swiss Miss Hot Chocolate Marshmallow Flavored Kettle Corn, 4.5 oz. || SWISS MISS French Vanilla Envelopes, 6 OZ"
133,decorating,icing,116,,FORM,GREEN DECORATING ICING || WHITE DECORATING ICING
134,chef,boyardee,115,STOPWORD,,"CHEF BOYARDEE Microwaveable Mini Beef, 14.25 OZ || CHEF BOYARDEE Chicken Alfredo Pasta, 15 OZ"
135,meat,lovers,115,CATEGORY,,"Life Cuisine Frozen Meal Meat Lovers Zoodles Bowl, Carb Wise Microwave Meal, Carb Consciou || CARB WISE MEAT LOVERS ZOODLES BOWL"
136,dried,apricots,114,STORAGE,,"MIXED FRUIT DRIED APRICOTS, PLUMS, PEACHES AND APPLES, MIXED FRUIT || CALIFORNIA DRIED APRICOTS, CALIFORNIA"
137,valued,naturals,114,STOPWORD,,"VALUED NATURALS, BANANA CHIPS || VALUED NATURALS, CARAMEL CREAMS"
138,louis,style,114,,STOPWORD,"HOT BBQ FLAVORED ST. LOUIS STYLE WAVY POTATO CHIPS, HOT BBQ || CHOCOLATE CHIP ST. LOUIS STYLE GOURMET FROZEN PIZZA COOKIES, CHOCOLATE CHIP"
139,cherry,sours,113,CATEGORY,,"KING HENRY'S, CHERRY SOURS || CIRCLE K, FAVORITES, CHEWY FRUITY CANDY, CHERRY SOURS, CHERRY SOURS"
140,chewing,gum,113,,FORM,"PEPPERMINT FLAVORED SUGAR FREE CHEWING GUM, PEPPERMINT || PEPPERMINT FLAVORED SUGAR FREE CHEWING GUM, PEPPERMINT"
141,san,marzano,113,,,"VODKA SAN MARZANO BLEND REAL CREAM """"HEIRLOOM PASTA SAUCE"""", VODKA || GARLIC, OLIVE OIL & BASIL SAN MARZANO STYLE WHOLE PEELED TOMATOES, GARLIC, OLIVE OIL & BAS"
142,wild,alaskan,112,DIET,,"LEMON ZEST + HERB WILD ALASKAN SALMON JERKY, LEMON ZEST + HERB || RAINBOW PEPPERCORN WILD ALASKAN SALMON JERKY, RAINBOW PEPPERCORN"
143,pimento,cheese,111,,FORM,JALAPENO PIMENTO CHEESE || JALAPENO PIMENTO CHEESE
144,lo,mein,111,,,"CHICKEN AUTHENTIC LO MEIN NOODLES TOSSED WITH SEASONED CHICKEN BREAST, VEGETABLES AND SAUC || CHICKEN AUTHENTIC LO MEIN NOODLES TOSSED WITH SEASONED CHICKEN BREAST, VEGETABLES AND SAUC"
145,creme,brulee,110,CATEGORY,,"ASSORTED TRUFFLES, CHOCOLATE LAVA CAKE TRUFFLE, STRAWBERRY CHEESE CAKE TRUFFLE & CREME BRU || DESSERT ASSORTED TRUFFLES, CHOCOLATE LAVA CAKE, STRAWBERRY CHEESECAKE & CREME BRULEE TRUFF"
146,zee,zees,109,,,"Zee Zees Applesauce Cup, Wild Watermelon, 4.5 oz. || Zee Zees Applesauce Cup, Wild Watermelon, 4.5 oz."
147,cocktail,mixer,109,FORM,,"APPLE CINNAMON SLEIGH BELL COCKTAIL MIXER, APPLE CINNAMON || SPICED APPLE HARVEST APPLE COCKTAIL MIXER WITH CINNAMON, SPICED APPLE WITH CINNAMON"
148,kellogg,cheez,109,STOPWORD,,Kellogg's Cheez It Crackers Grooves Sharp White Cheddar 17oz || Kellogg's Cheez It Crackers Duoz Sharp Cheddar/Parmesan 4.3oz
149,pimiento,stuffed,109,,PREPARATION_STATE,"PIMIENTO STUFFED QUEEN OLIVES, PIMIENTO || PIMIENTO STUFFED MANZANILLA OLIVES"
150,johnvince,foods,107,,STOPWORD,"JOHNVINCE FOODS, TURKISH APRICOTS || JOHNVINCE FOODS, ORGANIC BANANA CHIPS"
151,bar,que,106,FORM,,"BAR-B-QUE JACKFRUIT, BAR-B-QUE || BAR-B-QUE JACKFRUIT, BAR-B-QUE"
152,port,wine,106,,CATEGORY,"GOOSE PATE WITH PORT WINE || COLD PACK CHEESE FOOD, PORT WINE"
153,wildflower,honey,106,,SWEETENER,"MONEY ON HONEY CHOCOLATES, WILDFLOWER HONEY CARAMELS || MILK CHOCOLATE FRENCH SEA SALT WILDFLOWER HONEY CARAMEL, MILK CHOCOLATE FRENCH SEA SALT"
154,sprinkle,mix,106,,FORM,"SPRINKLE MIX RASPBERRY FILLED COOKIES, RASPBERRY || STRANGER THINGS SURFER BOY PIZZA COOKIE KIT - COOKIE MIX, SPRINKLE MIX, GUMMY CANDY, RED I"
155,stuffed,manzanilla,106,PREPARATION_STATE,,"PIMIENTO STUFFED MANZANILLA OLIVES || PIMIENTO STUFFED MANZANILLA OLIVES, PIMIENTO STUFFED"
156,crescent,rolls,106,,STOPWORD,CRESCENT ROLLS || CRESCENT ROLLS
157,skin,on,105,,STOPWORD,"SWEET PERSIMMON, TART APPLE & TANGY PEACH ORCHARD BLEND SKIN-ON SUPERFRUIT SNACK, SWEET PE || Tyson All Natural* Uncooked Unbreaded Boneless Chicken Thighs, Skin On, 4.75 oz."
158,essential,everyday,105,,,"ESSENTIAL EVERYDAY, APPLE PIE FILLING OR TOPPING || ESSENTIAL EVERYDAY, NATURALLY HARDWOOD SMOKED BACON"
159,gold,medal,105,BRAND_NOISE,,Gold Medal All Trumps Pizza Dough Ball 18 Count || Gold Medal All Trumps Pizza Dough Ball 48 Count
160,with,other,105,STOPWORD,,"GARLIC & CHEESE WITH OTHER NATURAL FLAVORS BISCUITS || SPARTAN, GRANULATED BOUILLON, CHICKEN FLAVOR WITH OTHER NATURAL FLAVORS, CHICKEN FLAVOR WI"
161,iceberg,lettuce,105,,CATEGORY,"ICEBERG LETTUCE, CARROTS & RED CABBAGE CLASSIC GARDEN || GARDEN BLEND ICEBERG LETTUCE, RED CABBAGE & CARROTS, GARDEN BLEND"
162,cole,slaw,105,,DISH_TYPE,"KROGER, FRESH SELECTIONS, COLE SLAW, GREEN CABBAGE & CARROTS || CABBAGE & CARROTS COLE SLAW, CABBAGE & CARROTS"
163,chicharrones,fried,105,,PREPARATION_STATE,"BARBECUE FLAVORED CHICHARRONES FRIED PORK SKINS, BARBECUE || CHICHARRONES FRIED PORK SKINS, BARBECUE"
164,broccoli,cuts,104,CATEGORY,,Cascadian Farm Organic Broccoli Cuts || BROCCOLI CUTS
165,natural,casing,104,DIET,,"NATURAL CASING FRANKFURTERS WITH PREMIUM CUTS OF BEEF & PORK || Kowalski smoked sausage, a natural hardwood smoke in a natural casing."
166,lower,sodium,103,,SODIUM,LOWER SODIUM BACON || NATURAL HARDWOOD SMOKE LOWER SODIUM BACON
167,x1,oz,103,,STOPWORD,BELVITA PROTEIN BISCUITS Blueberry Almond 1X1.76 OZ || NABISCO TEDDY GRAHAMS SOFT CAKE CHOCOLATE 1X1.06 OZ
168,au,gratin,103,,,BROCCOLI AU GRATIN STUFFED CHICKEN BREAST || Lays Wavy Au Gratin 9.5z
169,yellowfin,tuna,103,,CATEGORY,"YELLOWFIN TUNA IN WATER, LIGHT || WATER WITH SEA SALT YELLOWFIN TUNA"
170,bronze,cut,103,,CUT,"BRONZE CUT ARTISAN PASTA, ROASTED GARLIC & PARSLEY LINGUINI || ORGANIC ARTISAN BRONZE CUT PASTA, CAVATELLI"
171,ez,peel,103,,PREPARATION_STATE,51/60 EZ PEEL SHRIMP || 41/50 EZ PEEL SHRIMP
172,layer,cake,102,,FORM,"CHOCOLATE CARAMEL CREAMY, CRUNCHY LAYER CAKE MINI BARS, CHOCOLATE CARAMEL || CARAMEL APPLE 3 LAYER CAKE, CARAMEL APPLE"
173,frozen,confection,102,STORAGE,,"FRUIT PUNCH & COTTON CANDY WITH GUMBALLS FRUIT PUNCH & COTTON CANDY FLAVORED FROZEN CONFEC || BATATA CREAM QUIESCENTLY FROZEN CONFECTION, CREAM"
174,grapeseed,oil,102,,FORM,"GRAPESEED OIL || FOLLOW YOUR HEART, VEGENAISE, DIPPING SAUCE & SPREAD, GRAPESEED OIL, GRAPESEED OIL"
175,pizza,margherita,102,DISH_TYPE,,"CADIA, ORGANIC WOOD-FIRED ITALIAN PIZZA, MARGHERITA, MARGHERITA || MARGHERITA PLANT-BASED ARTISAN SOURDOUGH PIZZA, MARGHERITA"
176,bite,sized,101,CUT,,"MAPLE HEAT-IN-BAG BITE-SIZED PANCAKES, MAPLE || BERRY BITE-SIZED PANCAKES, BERRY"
177,iodized,salt,100,,SODIUM,ALL-PURPOSE IODIZED SALT || ALL PURPOSE IODIZED SALT
178,duncan,hines,99,,,"DUNCAN HINES, WILDERNESS, PREMIUM PIE FILLING & TOPPING, APRICOT, APRICOT || DUNCAN HINES, CHOCOLATE LOVERS BROWNIE & GLAZE MIXES"
179,pulled,chicken,99,,CATEGORY,PULLED CHICKEN BURRITO BOWL || PULLED CHICKEN BREAST
180,trident,gum,99,,FORM,TRIDENT GUM PEPPERMINT 1X18 PC || TRIDENT GUM PEPPERMINT 1X3.000 PK
181,of,palm,99,STOPWORD,,"CHICKEN FRA DIAVOLO SEASONED PULLED CHICKEN BREAST WITH HEARTS OF PALM PASTA & YELLOW ZUCC || HEARTS OF PALM FULLY COOKED WHITE RICE, HEARTS OF PALM"
182,marie,callender,98,,,"MARIE CALLENDER'S, RESTAURANT STYLE BISCUIT MIX || MARIE CALLENDER'S, ORGANIC MIX CORN BREAD, ORIGINAL, ORIGINAL"
183,patch,kids,98,,AUDIENCE,SOUR PATCH KIDS SOFT CANDY ASSORTED FRUITS FAT FREE16X1.9 LB || SOUR PATCH KIDS SOFT CANDY ASSORTED FRUITS FAT FREE24X5 OZ
184,scrambled,eggs,98,,FORM,"CAGE-FREE SCRAMBLED EGGS, POTATOES, AND CHEDDAR CHEESE NOW COME WITH A SIDE OF OUR DELICIO || CHEESY SCRAMBLE WITH HASH BROWNS SCRAMBLED EGGS WITH CHEDDAR, MONTEREY JACK AND REDUCED FA"
185,orange,marmalade,98,CATEGORY,,"SWEET ORANGE MARMALADE JUICE CONCENTRATE || ORANGE MARMALADE, ORANGE"
186,lunds,byerlys,97,,,"LUNDS & BYERLYS, ORGANIC DRIED DICED APPLES || LUNDS & BYERLYS, ORGANIC APRICOTS"
187,with,touch,97,STOPWORD,,"BLACK COOKED WHOLE BEANS WITH A TOUCH OF ONION & GARLIC, BLACK || FRIJOLES A LA MEXICANA PINTO BEANS IN A TOMATO AND SERRANO SAUCE WITH A TOUCH OF BACON COC"
188,bleu,cheese,97,,FORM,"BLEU CHEESE GOURMET FINISHING BUTTER, BLEU CHEESE || BLEU CHEESE GOURMET FINISHING BUTTER, BLEU CHEESE"
189,sponge,cake,97,,FORM,"CHOCOLATE PETITE SPONGE CAKE, CHOCOLATE || TWO LAYERS OF IRISH CREAM FLAVORED SPONGE CAKE COVERED IN DREAMY BAILEYS IRISH CREAM FLAVO"
190,vidalia,onion,97,,CATEGORY,"SWEET VIDALIA ONION KETTLE STYLE POTATO CHIPS, SWEET VIDALIA ONION || SWEET VIDALIA ONION KETTLE STYLE POTATO CHIPS, SWEET VIDALIA ONION"
191,with,ginseng,97,STOPWORD,,"HEMP SEED EXTRACT WITH GINSENG & GUARANA || SUPERIOR GINSENG DRINK WITH GINSENG ROOT, GINSENG ROOT"
192,oz,pouch,96,STOPWORD,,"Furmanos; 6/116OZ Pouch Baked Beans || Plum Organics Stage 2 Organic Peach, Banana & Apricot 4 oz Pouch-4-Pk"
193,disney,frozen,96,,STORAGE,"CRAFTY COOKING KITS, DISNEY FROZEN CHOCOLATE CUPCAKE KIT || DISNEY, FROZEN, MILK CHOCOLATE BAR & CARD KIT"
194,tennessee,pride,96,CUISINE,,"Odom's Tennessee Pride Sausage & Maple Pancakes, 10 Count || ODOMS TENNESSEE PRIDE Sausage Pancakes, 13.7 OZ"
195,enhanced,water,96,,CATEGORY,"ZERO SUGAR RASPBERRY DARK CHOCOLATE NUTRIENT ENHANCED WATER BEVERAGE, RASPBERRY; DARK CHOC || MULTIFIT, COCONUT PINEAPPLE FLAVORED VITAMIN ENHANCED WATER BEVERAGE, COCONUT PINEAPPLE"
196,salt,grinder,96,SODIUM,,GARLIC & SEA SALT GRINDER || GARLIC & SEA SALT GRINDER
197,popcorn,movie,95,FORM,,"MICROWAVE POPCORN, MOVIE THEATER BUTTER || POPCORN, MOVIE THEATER BUTTER"
198,cannellini,beans,94,,CATEGORY,Bush's Cannellini Beans 15.5 oz || Bush's Reduced Sodium Cannellini Beans 15.5 oz
199,popping,candy,94,,FORM,"FIRECRACKER SEA SALT, A DASH OF CHIPOTLE AND POPPING CANDY CRACKLE IN DARK CHOCOLATE BAR,  || POPPING POTION MILK CHOCOLATE BARS WITH POPPING CANDY, POPPING POTION"
200,drinkable,yogurt,93,,FORM,"ALMOND MILK DRINKABLE YOGURT PROBIOTIC, MANGO || PLAIN GOAT MILK KEFIR PROBIOTIC DRINKABLE YOGURT, PLAIN"
201,chocolate,drizzle,93,FORM,,"GOURMET CARAMEL APPLE DARK & WHITE CHOCOLATE CHIPS WITH MILK CHOCOLATE DRIZZLE, CARAMEL AP || PEANUT BUTTER CHOCOLATE CHIP WITH CHOCOLATE FLAVORED DRIZZLE ENERGY BARS, PEANUT BUTTER CH"
202,sanding,sugar,93,,SWEETENER,"VANILLA SPARKLE CUPCAKE MIX TOPPED WITH VANILLA BEAN FROSTING & SPARKLE SANDING SUGAR, VAN || SPARKLE SUGAR COOKIE MIX WITH MINI WHITE CHOCOLATE CHIPS & SPARKLE SANDING SUGAR, SPARKLE "
203,breast,filets,93,CUT,,"Tyson Fully Cooked, Whole Grain Breaded Hot 'N Spicy Whole Muscle Chicken Breast Filets, 4 || Tyson Red Label Fully Cooked Breaded Air Fried Chicken Breast Filets, 4 oz."
204,rotisserie,chicken,93,,CATEGORY,"SPARTAN, DELI STYLE ROTISSERIE CHICKEN BREAST || ROTISSERIE CHICKEN SHREDDED BREAST MEAT, ROTISSERIE CHICKEN"
205,with,jalapenos,92,STOPWORD,,"BLACKEYE PEAS WITH JALAPENOS || CASA FIESTA, PINTO BEANS WITH JALAPENOS, PINTO BEANS"
206,neon,worms,92,,FORM,"SOUR NEON WORMS FLAVORED CHEWY CANDY, SOUR NEON WORMS || SOUR NEON WORMS FLAVORED CHEWY CANDY, SOUR NEON WORMS"
207,cool,ranch,92,,STOPWORD,11.00OZ DORITOS CRA COOL RANCH || Doritos Cool Ranch 8z
208,the,cob,92,STOPWORD,,"OFF THE COB, SWEET CORN TORTILLA CHIPS || SEAFOOD BOIL CORN ON THE COB, RAW SHRIMP, ANDOUILLE SAUSAGE, MUSSELS, RED SKINNED POTATOES"
209,electrolyte,solution,92,STORAGE,,"COCONUT PLANT-BASED ELECTROLYTE SOLUTION, COCONUT || KIWI BERRY MIST FLAVOR ELECTROLYTE SOLUTION, KIWI BERRY MIST"
210,smart,sense,91,BRAND_NOISE,,"SMART SENSE, PEANUT TOFFEE || SMART SENSE, CANDY CORN"
211,with,probiotics,90,STOPWORD,,"UNSWEET ALMONDMILK WITH PROBIOTICS, UNSWEET || UNSWEET VANILLA ALMONDMILK WITH PROBIOTICS, UNSWEET VANILLA"
212,orleans,style,90,,STOPWORD,"NEW ORLEANS STYLE SAUCED RED BEANS WITH PEPPERS, ONIONS & CREOLE SEASONING, NEW ORLEANS ST || NEW ORLEANS STYLE SAUCED RED BEANS WITH PEPPERS, ONIONS & CREOLE SEASONING, NEW ORLEANS ST"
213,maui,onion,90,,CATEGORY,"MAUI ONION & GARLIC BREADSTICKS, MAUI ONION & GARLIC || MAUI ONION & GARLIC BREADSTICKS, MAUI ONION & GARLIC"
214,ridged,potato,90,,CATEGORY,"HONEY BBQ RANCH RIDGED POTATO CHIPS, HONEY BBQ RANCH || RUFFLES, DEEP RIDGED POTATO CHIPS, BACON & CHEDDAR, BACON & CHEDDAR"
215,ice,creams,90,FORM,,"ICE CREAMS CONES || BLU'S BIRTHDAY PARTY CAKE & FROSTING FLAVORED ICE CREAMS, CONFETTI CANDIES, CAKE PIECES, B"
216,wood,smoked,89,,STORAGE,"NATURALLY HICKORY WOOD SMOKED TURKEY BACON || BIG Y, TURKEY BACON, WOOD SMOKED, WOOD SMOKED"
217,buttercreme,icing,89,,FORM,"BROWNIE WITH PEANUT BUTTER BUTTERCREME ICING, BROWNIE || CARAMEL APPLE FLAVORED CUPCAKES WITH SOUR APPLE BUTTERCREME ICING, CARAMEL APPLE WITH SOUR"
218,star,wars,89,,,"STAR WARS, FRUIT FLAVORED SNACKS || STAR WARS, FRUIT FLAVORED SNACK"
219,minestrone,soup,89,,DISH_TYPE,"BERTOLLI Chicken Minestrone Soup, 24 OZ || MINESTRONE SOUP"
220,collard,greens,89,,CATEGORY,"SUJA, ELEMENTS, KING OF GREENS JUICE, APPLE, CELERY, CUCUMBER, KALE, COLLARD GREENS, LEMON || MIGHTY DOZEN APPLE, CELERY, CUCUMBER, KALE, COLLARD GREENS ORGANIC COLD-PRESSED VEGETABLE "
221,nature,promise,88,STOPWORD,,"NATURE'S PROMISE, GALA APPLE || NATURE'S PROMISE, ORGANIC, HASS AVOCADOS"
222,street,taco,88,,DISH_TYPE,"Old El Paso Carne Asada Steak Street Taco Kit || STREET TACO WITH CHIMICHURRI SAUCE DICED BEEF CONTAINS UP TO A 12% SOLUTION OF WATER, SODI"
223,pizza,crusts,88,DISH_TYPE,,"VICOLO, CORN MEAL PIZZA CRUSTS || Pillsbury Mini Pizza Crusts 8 Count"
224,au,jus,88,,,"BETTER THAN BOULLON AU JUS BASE || FRENCH DIP AU JUS WITH COOKED & SLICED PREMIUM ROAST BEEF, FRENCH DIP"
225,hy,vee,88,,,"HY-VEE, BREAKFAST BISCUITS, BLUEBERRY, BLUEBERRY || HY-VEE, TAKE & BAKE ARTISAN, ASIAGO GARLIC"
226,chips,semi,88,FORM,,"SNOWY SLOPES GOLDEN RAISINS, PEANUTS, DRIED CRANBERRIES, ALMONDS, WHITE CHOCOLATE CHIPS, S || SNOWY SLOPES GOLDEN RAISINS, PEANUTS, DRIED CRANBERRIES, ALMONDS, WHITE CHOCOLATE CHIPS, S"
227,carne,asada,87,,,"Old El Paso Carne Asada Steak Street Taco Kit || CARNE ASADA BEEF FLANK STEAK WITH A HINT OF CITRUS & SALT, CARNE ASADA"
228,other,natural,87,,DIET,"GARLIC & CHEESE WITH OTHER NATURAL FLAVORS BISCUITS || SPARTAN, GRANULATED BOUILLON, CHICKEN FLAVOR WITH OTHER NATURAL FLAVORS, CHICKEN FLAVOR WI"
229,potato,skins,87,CATEGORY,,"RUFFLES, BACON & CHEDDAR LOADED POTATO SKINS, BACON & CHEDDAR, BACON & CHEDDAR || LOADED BACON & CHEDDAR POTATO SKINS FLAVORED POTATO CHIPS, LOADED BACON & CHEDDAR POTATO S"
230,pie,crusts,86,FORM,,Pillsbury All Vegetable Deep Dish Pie Crusts 2 Count || Immaculate Baking Pie Crusts 2 Count
231,wing,sections,86,CUT,,"Tyson W.W. Flyers Fully Cooked Breaded Bone-In Chicken Wing Sections, Small || Tyson Red Label Fully Cooked Applewood Smoked Bone-In Chicken Wing Sections, Jumbo"
232,hillshire,farm,85,,STOPWORD,Hillshire Farm Fully Cooked All Natural Uncured Bacon Pieces || Hillshire Farm Corned Beef Brisket Fully Cooked
233,hearth,baked,85,,PREPARATION_STATE,"HEARTH BAKED BAGELS, BLUEBERRY || HEARTH BAKED BAGELS, CINNAMON RAISIN"
234,city,style,85,,STOPWORD,"KANSAS CITY STYLE BACON & BROWN SUGAR BBQ BAKED BEANS, KANSAS CITY STYLE BACON & BROWN SUG || KANSAS CITY STYLE BACON & BROWN SUGAR BBQ BAKED BEANS, KANSAS CITY STYLE BACON & BROWN SUG"
235,cinnamon,churro,85,FLAVOR_UNIVERSAL,,"CINNAMON CHURRO BANANA BITES, CINNAMON CHURRO || CINNAMON CHURRO BANANA BITES, CINNAMON CHURRO"
236,italian,classics,85,CUISINE,,"ROUNDY'S, ITALIAN CLASSICS PLAIN BREAD CRUMBS || ROUNDY'S, ITALIAN CLASSICS, ITALIAN STYLE BREAD CRUMBS"
237,imitation,crab,85,,CATEGORY,"HOT & SPICY CRAB CAKES WITH REAL & IMITATION CRAB AND FISH FLAKES, HOT & SPICY || HOT & SPICY CRAB CAKES WITH REAL & IMITATION CRAB AND FISH FLAKES, HOT & SPICY"
238,pizzeria,style,85,,STOPWORD,PIZZERIA STYLE BLEND LOW-MOISTURE PART-SKIM MOZZARELLA WITH SMOKE-FLAVORED PROVOLONE SHRED || PIZZERIA STYLE BLEND LOW-MOISTURE PART-SKIM MOZZARELLA WITH SMOKE-FLAVORED PROVOLONE SHRED
239,red,label,85,COLOR,,"Tyson Red Label Fully Cooked Breaded Air Fried Chicken Breast Filets, 4 oz. || Tyson Red Label Uncooked Tempura Battered Chicken Breast Nuggets"
240,chow,mein,85,,,"LA CHOY Chicken Chow Mein Bi Pak, 42 OZ || Chicken Chow Mein, 72 OZ"
241,corn,starch,84,CATEGORY,,"DAVIS CORN STARCH, 6.5 OZ || MANGO FLAVORED CHILI COATED CORN STARCH GUMMIES, MANGO"
242,protein,per,84,DIET,,"Van Camp's Pork and Beans Microwavable Cups, 6g Protein Per Serving, 7.25 oz. Cup || Libby's Corned Beef, 14g Protein Per Serving, Canned Meat, 25% Less Sodium, 12 oz. Can"
243,tres,leches,84,,,"TRIPLE CHOCOLATE TRES LECHES STYLE FLAVORED CUPCAKE, TRIPLE CHOCOLATE TRES LECHES STYLE || TRIPLE CHOCOLATE TRES LECHES STYLE FLAVORED CUPCAKE, TRIPLE CHOCOLATE TRES LECHES STYLE"
244,x10,oz,84,,STOPWORD,MILKA CHOCOLATE BAR OREO 1X10.5 OZ || RED OVAL FARMS COOKIES OATMEAL CHOCOLATE CHIP 1X10.75 OZ
