rank,token1,token2,frequency,axis_token1,axis_token2,sample_titles
245,cantina,style,84,,STOPWORD,Me Hiko Tortilleria Thin & Crispy Cantina Style 700g || CHAO CANTINA STYLE PLANT-BASED QUESO
246,chicken,fc,84,CATEGORY,,"Chicken, FC NAE Tempura Breast Fritter Boneless Wings, Portioned || Chicken, FC Tempura Breast Fritter Boneless Wings"
247,glacier,freeze,84,,STORAGE,Gatorade G2 Glacier Freeze Thirst Quencher (12-12 Fluid Ounce) 144 Fluid Ounce 12 Pack Pla || Gatorade Frost Thirst Quencher Glacier Freeze (12 - 12 Fluid Ounce) 144 Fluid Ounce 12 Pac
248,extra,wide,84,STOPWORD,,"RONZONI, SMART TASTE, EXTRA WIDE NOODLE STYLE || EXTRA WIDE EGG NOODLES"
249,cheese,alternative,83,FORM,,"FOLLOW YOUR HEART, AMERICAN STYLE CHEESE ALTERNATIVE || FOLLOW YOUR HEART, AMERICAN STYLE CHEESE ALTERNATIVE"
250,replacement,shake,82,,FORM,"BANANAS & CREAM FLAVORED ADVANCED NUTRITION MEAL REPLACEMENT SHAKE, BANANAS & CREAM || ADVANCED NUTRITION VANILLA CREAM MEAL REPLACEMENT SHAKE, VANILLA CREAM"
251,overnight,oats,82,,BRAND_NOISE,"CLASSIC BLUEBERRY OVERNIGHT OATS BAR, CLASSIC BLUEBERRY || VEGAN BLUEBERRY MUFFIN PROTEIN OVERNIGHT OATS, VEGAN BLUEBERRY MUFFIN"
252,salisbury,steak,82,,CATEGORY,"AdvancePierre Fully Cooked Flamebroiled Bell Pepper, Onion and Beef Salisbury Steak, 3 oz || Salisbury Steak w/Mushroom Sauce - 12 per tray, 63 OZ"
253,roll,ups,82,STOPWORD,,"FRUIT ROLL-UPS, QUIZ ROLLS FRUIT FLAVORED SNACKS, STRAWBERRY TWIST, PUNCH BERRY, STRAWBERR || FRUIT ROLL-UPS, FRUIT FLAVORED SNACKS, TROPICAL PUNCH, TROPICAL PUNCH"
254,tidbits,in,82,,STOPWORD,"COCONUT GRANOLA TOPPING + PINEAPPLE TIDBITS IN SAUCE + COCONUT PUDDING PROTEIN PARFAIT, CO || HERRING TIDBITS IN CREAM, HERRING"
255,earl,grey,82,,,"EARL GREY TEA 72% COCOA DARK CHOCOLATE, EARL GREY TEA || EARL GREY TEA 72% COCOA DARK CHOCOLATE, EARL GREY TEA"
256,praline,pecans,82,,CATEGORY,"MOONSTRUCK, DARK MILK CHOCOLATE, PRALINE PECANS & CANDIED GINGER, PRALINE PECANS & CANDIED || MOONSTRUCK, DARK MILK CHOCOLATE, PRALINE PECANS & CANDIED GINGER, PRALINE PECANS & CANDIED"
257,oz,jar,82,STOPWORD,,"COFFEE-MATE Powder French Vanilla 30oz Jar || Prego Cheesy Bacon Cheddar Cheese Sauce, 14.5 oz Jar"
258,light,fit,82,STORAGE,,Light + Fit Dannon || Light + Fit Dannon Greek Boston Cream Pie Nonfat Yogurt 5.3 oz. Cup
259,cobb,salad,82,,DISH_TYPE,"CHICKEN & BACON COBB SALAD, CHICKEN & BACON || COBB SALAD WITH WHITE CHICKEN MEAT & BACON, CHICKEN MEAT & BACON"
260,red,mill,81,COLOR,,"BOB'S RED MILL, BISCUIT MIX, BUTTERMILK, BUTTERMILK || BOB'S RED MILL, LOW-CARB WHOLE GRAIN BAKING MIX"
261,rice,krispies,81,CATEGORY,,Kellogg's Rice Krispies Treats Squares Birthday Cake .77oz || Kellogg's Rice Krispies Cereal Red & Blue 9.9oz
262,sour,brite,81,STOPWORD,,"TROLLI, SOUR BRITE BITES, ARTIFICIALLY FLAVORED CHEWY CANDY, BLUE RASPBERRY, BLUE RASPBERR || JUICY EXPLODING FRUITY FLAVORS SOUR BRITE SQUARE EGGS"
263,air,popped,81,,CATEGORY,"WAI LANA, CASSAVA POPS - AIR POPPED CHIPS, VOLCANO - LAVA HOT & SPICY, VOLCANO - LAVA HOT  || SMART FRIES AIR POPPED POTATO STICKS, CLASSIC SEA SALT"
264,skillet,meal,81,,FORM,HAMBURGER POTATO STROGANOFF THIN POTATO SLICES & BEEF FLAVORED SAUCE MIX WITH SOUR CREAM S || HAMBURGER HASH DINNER DICED POTATOES & BEEF FLAVORED SAUCE MIX WITH MINCED ONIONS SKILLET 
265,vine,ripened,81,,PREPARATION_STATE,"TRIBE, VINE RIPENED TOMATO & BASIL HUMMUS, TOMATO & BASIL, TOMATO & BASIL || CHICKEN PARMIGIANA BREADED CHICKEN BREAST AND VINE-RIPENED TOMATO SAUCE OVER PASTA. TOPPED"
266,black,currant,80,COLOR,,"LIQUID WATER ENHANCER, APPLE & BLACK CURRANT || GUMMI BEARS, ALPHONSO MANGO, ASIAN PEAR, BLACK CURRANT, BLOOD ORANGE, CRIMSON CRANBERRY, F"
267,pouches,apple,80,,CATEGORY,"APPLE SAUCE POUCHES, APPLE PEACH || APPLE SAUCE POUCHES, APPLE"
268,mildly,sweet,80,,STOPWORD,"CORTLAND MILDLY SWEET & JUICY APPLES, CORTLAND || APPLES CORTLAND MILDLY SWEET & JUICY, APPLES"
269,del,monte,80,,,"DEL MONTE APRICOT HALVES, 15.25 OZ || DEL MONTE, LITE APRICOT HALVES"
270,roll,wr,80,STOPWORD,,"12PC AVOCADO REGULAR ROLL WR, AVOCADO REGULAR || AVOCADO REGULAR ROLL WR, AVOCADO REGULAR"
271,bob,red,80,,COLOR,"BOB'S RED MILL, BISCUIT MIX, BUTTERMILK, BUTTERMILK || BOB'S RED MILL, LOW-CARB WHOLE GRAIN BAKING MIX"
272,lower,sugar,80,,SWEETENER,"CHOCOLATE CHIP COOKIE DOUGH FLAVORED LOWER SUGAR WHEY PROTEIN BAR WITH ALMOND BUTTER, CHOC || DARK CHOCOLATE CARAMEL LOWER SUGAR PROTEIN BAR, DARK CHOCOLATE CARAMEL"
273,peri,peri,80,,,"FREE RANGE CHICKEN PERI PERI STYLE BAR, FREE RANGE CHICKEN PERI PERI STYLE || FREE RANGE CHICKEN PERI PERI STYLE BAR, FREE RANGE CHICKEN PERI PERI STYLE"
274,eye,steamfresh,80,,,"Birds Eye Steamfresh Cut Green Beans, Frozen Vegetables, 10 oz. Bag || Birds Eye Steamfresh Whole Green Beans, Frozen Vegetables, 10.8 oz. Bag"
275,blue,razz,80,COLOR,,"STRAWBERRY BLUE RAZZ FLAVORED COTTON CANDY, STRAWBERRY BLUE RAZZ || STRAWBERRY BLUE RAZZ FLAVORED COTTON CANDY, STRAWBERRY BLUE RAZZ"
276,tso,chicken,80,,CATEGORY,"GENERAL TSO'S CHICKEN FULLY COOKED, BONELESS, TEMPURA CHICKEN BREAST PIECES IN A GENERAL T || GENERAL TSO'S CHICKEN FULLY COOKED, BONELESS, TEMPURA CHICKEN BREAST PIECES IN A GENERAL T"
277,vienna,sausage,80,,CATEGORY,CHICKEN VIENNA SAUSAGE IN CHICKEN BROTH || VIENNA SAUSAGE MADE WITH CHICKEN
278,layers,of,79,,STOPWORD,"CARROT CAKE TWO LAYERS OF CARROT CAKE TOPPED WITH RICH CREAM CHEESE ICING, CARROT WITH RIC || TWO LAYERS OF IRISH CREAM FLAVORED SPONGE CAKE COVERED IN DREAMY BAILEYS IRISH CREAM FLAVO"
279,prickly,pear,79,,CATEGORY,"CACTUS CANDY COMPANY, SOUTHWEST SAMPLER CANDY, PRICKLY PEAR, POMEGRANATE, LEMON & ORANGE,  || CACTUS CANDY COMPANY, SOUTHWEST SAMPLER CANDY, PRICKLY PEAR, POMEGRANATE, LEMON & ORANGE, "
280,marzano,style,79,,STOPWORD,"GARLIC, OLIVE OIL & BASIL SAN MARZANO STYLE WHOLE PEELED TOMATOES, GARLIC, OLIVE OIL & BAS || SAN MARZANO STYLE CHOPPED TOMATOES IN PUREE WITH GARLIC, BASIL, OLIVE OIL, & SEA SALT, GAR"
281,marshmallow,chicks,78,CATEGORY,,"PARTY CAKE FLAVORED MARSHMALLOW CHICKS || PARTY CAKE MARSHMALLOW CHICKS, PARTY CAKE"
282,non,pareils,78,STOPWORD,,"DALLIES, HOLIDAY NON PAREILS || DARK CHOCOLATE NON PAREILS CANDY, DARK CHOCOLATE NON PAREILS"
283,chips,ahoy,78,FORM,,"CHIPS AHOY! THINS COOKIES OATMEAL 1X7 OZ || SOUR PATCH KIDS CANDY, CHIPS AHOY! MINI COOKIES & NUTTER BUTTER BITES VARIETY PACK, 30 SNA"
284,rice,pilaf,78,CATEGORY,,RICE PILAF WITH GRILLED CHICKEN AND BROCCOLI LONG GRAIN RICE & ORZO PASTA WITH GRILLED CHI || RICE PILAF WITH GRILLED CHICKEN AND BROCCOLI LONG GRAIN RICE & ORZO PASTA WITH GRILLED CHI
285,salsa,picante,78,FORM,,"SALSA PICANTE LIMON FLAVORED POTATO CHIPS, SALSA PICANTE LIMON || SALSA PICANTE LIMON FLAVORED POTATO CHIPS, SALSA PICANTE LIMON"
286,orville,redenbachers,78,,,"ORVILLE REDENBACHERS White Corn, 45 OZ || ORVILLE REDENBACHERS Old Fashioned White Kernels"
287,picante,sauce,78,,FORM,"Pace Hot Picante Sauce, 24 oz. || CAJOHNS, PICANTE SAUCE, GOURMET SALSA, MILD, MILD"
288,jellied,cranberry,78,,CATEGORY,"JELLIED CRANBERRY SAUCE || JELLIED CRANBERRY SAUCE, CRANBERRY"
289,pieces,stems,78,STOPWORD,,PIECES & STEMS MUSHROOMS || PIECES & STEMS MUSHROMMS
290,slices,per,77,STOPWORD,,"Nugget Hardwood Smoked Premium Sugar Cured Bacon, Layered, 16-18 slices per pound, 15 lbs. || HORMEL FAST 'N EASY Extra Cooked Bacon Round Medium 192 Slices Per Case"
291,slow,simmered,77,PREPARATION_STATE,,"ZERO SUGAR ADDED SLOW-SIMMERED & SEASONED TO PERFECTION BAKED BEANS, ZERO SUGAR ADDED || SWEET & TANGY SLOW SIMMERED IN A SWEET TOMATO SAUCE BAKED BEANS, SWEET & TANGY"
292,lucky,charms,77,,,"GENERAL MILLS REESE'S PUFFS AND LUCKY CHARMS TREAT BARS VARIETY PACK, 0.85 OZ, 28 COUNT || Lucky Charms Complete Marshmallow Pancake Mix"
293,pork,cracklins,77,CATEGORY,,"ORIGINAL PORK CRACKLINS' CHICHARRONES, ORIGINAL || DIPPER STYLE ORIGINAL PORK CRACKLINS, ORIGINAL"
294,plum,organics,76,CATEGORY,,"Plum Organics Stage 2 Org Pear, Blbry, Avocado & Grnla 3.5oz Pch-6-Pk || Plum Organics Applesauce Mashups Strawberry & Banana, 3.17oz (Pack of 4)"
295,buttercrunch,toffee,76,,FORM,"BROWN&HALEY, ALMOND ROCA, BUTTERCRUNCH TOFFEE || BROWN & HALEY, ALMOND ROCA, THE ORIGINAL BUTTERCRUNCH TOFFEE"
296,honey,clover,76,SWEETENER,,"HONEY SPOONS CANDY MADE WITH REAL CLOVER HONEY, CLOVER HONEY || CHOBANI, FLIP, GREEK LOW-FAT YOGURT, CLOVER HONEY, CLOVER HONEY"
297,edible,cookie,76,,FORM,"THE COOKIE DOUGH CAFE, GOURMET EDIBLE COOKIE DOUGH, CREAMY OATMEAL RAISIN, CREAMY OATMEAL  || GOOEY BUTTER EDIBLE COOKIE DOUGH, GOOEY BUTTER"
298,with,pimiento,76,STOPWORD,,"PIMIENTO CHEESE FLAKY BUTTER PUFF PASTRY CUPS FILLED WITH PIMIENTO CHEESE AND TOPPED WITH  || MANZANILLA OLIVES STUFFED WITH PIMIENTO, PIMIENTO"
299,pacific,foods,75,,STOPWORD,"Pacific Foods Organic Unsweetened Almond Milk, Plant Based Milk, 32 oz Carton || Pacific Foods Organic Unsweetened Vanilla Almond Milk, Plant Based Milk, 32 oz Carton"
300,wright,brand,75,,STOPWORD,"Wright Brand Raw Smoked Bacon Ends and Pieces, 30 Lbs, Vacuum-sealed, Frozen || Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 10 Lbs, 14-18 Slices per"
301,tossed,in,75,,STOPWORD,"KOREAN INSPIRED BEEF MEATBALLS TOSSED IN KOREAM INSPIRED BBQ SAUCE, KOREAN INSPIRED || YUMMY CHOW CRISPY CEREAL SQUARES COVERED IN CHOCOLATEY PEANUT BUTTER TOSSED IN POWDERED SU"
302,semi,soft,75,,STOPWORD,"SEMI-SOFT COFFEE AND PEANUT COVERED WITH CHOCOLATE NOUGAT, CHOCOLATE || SEMI SOFT FIG LEAF WRAPPED FRESH LOIRE VALLEY CHEESE WHEEL MADE FROM PLANTS"
303,circus,peanuts,75,,CATEGORY,"TOPS, ASSORTED CIRCUS PEANUTS || HOWE SPANGLER CIRCUS PEANUTS, 11.5 OZ"
304,orleans,kettle,75,,PREPARATION_STATE,"NEW ORLEANS KETTLE STYLE MESQUITE BAR-B-QUE POTATO CHIPS, MESQUITE BAR-B-QUE || NEW ORLEANS KETTLE STYLE MESQUITE BAR-B-QUE POTATO CHIPS, MESQUITE BAR-B-QUE"
305,wild,alaska,75,DIET,,WILD ALASKA SNOW CRAB LEGS & CLAWS FULLY COOKED || WILD ALASKA KING CRAB LEGS & CLAWS
306,bolthouse,farms,74,,STOPWORD,"BOLTHOUSE FARMS, FRUIT & ALMONDMILK SMOOTHIE, BLUEBERRY BANANA, BLUEBERRY BANANA || BOLTHOUSE FARMS, FRUIT & ALMONDMILK SMOOTHIE, BLUEBERRY, BANANA, ALMONDMILK, BLUEBERRY, BA"
307,san,francisco,74,,,"SAN FRANCISCO, REFRIED RED SILK BEANS || SAN FRANCISCO STYLE SOURDOUGH ARTISAN BREAD, SAN FRANCISCO STYLE SOURDOUGH"
308,ghirardelli,chocolate,74,,FORM,"GHIRARDELLI CHOCOLATE CARAMEL PECAN BROWNIE BAR, CHOCOLATE CARAMEL PECAN || GHIRARDELLI CHOCOLATE, MILK CHOCOLATE, PEPPERMINT BROWNIE, PEPPERMINT BROWNIE"
309,cordon,bleu,74,,,BREADED RAW STUFFED CHICKEN BREASTS CORDON BLEU || CORDON BLEU WITH RIB MEAT BREADED RAW STUFFED CHICKEN BREASTS
310,chicken,enchiladas,74,CATEGORY,,"RED CHILI CHICKEN ENCHILADAS || FAMILY STYLE GREEN CHILE CHICKEN ENCHILADAS WITH TEX MEX STYLE RICE, FAMILY STYLE GREEN CH"
311,hanover,pretzel,74,,FORM,"SNYDER'S OF HANOVER, PRETZEL PIECES - REGULAR POTATO CHIPS || SNYDER'S OF HANOVER, PRETZEL SANDWICHES FILLED WITH CREAMY GOODNESS"
312,praline,pecan,73,,CATEGORY,"SCONE MIX, PRALINE PECAN || PRALINE PECAN CARAMELS, PRALINE PECAN"
313,steak,eze,73,CATEGORY,,"Steak-EZE BreakAway Corned Beef, Marinated, 4 oz, 12 Lbs || Steak-EZE Certified Angus Beef Brand Corned Beef Formed, Shaved & Portioned"
314,dyno,bites,73,,FORM,"BIRTHDAY CAKE FLAVORED DYNO-BITES CEREAL, BIRTHDAY CAKE || COCOA DYNO-BITES CEREAL, COCOA DYNO-BITES"
315,white,hominy,73,COLOR,,"SMOOTH & CREAMY ENRICHED WHITE HOMINY QUICK GRITS || OLD FASHIONED ENRICHED WHITE HOMINY GRITS, OLD FASHIONED"
316,gulf,shrimp,73,,CATEGORY,TEXAS BROWN GULF SHRIMP || TEXAS BROWN GULF SHRIMP
317,red,skin,72,COLOR,,"DARK RED SKIN KIDNEY BEAN || HANOVER, RED SKIN LIGHT RED KIDNEY BEANS"
318,beef,chuck,72,CATEGORY,,100% GRASS FED BEEF CHUCK ARM ROAST || 100% GRASS FED BEEF CHUCK ARM ROAST
319,jordan,almonds,72,,CATEGORY,ASSORTED JORDAN ALMONDS || ASSORTED JORDAN ALMONDS
320,green,goddess,72,COLOR,,"Late July Snacks, Green Goddess Tortilla Chips, 7.8-oz. Bag || GREEN GODDESS TORTILLA CHIPS, GREEN GODDESS"
321,ginger,snaps,72,CATEGORY,,GINGER SNAPS COOKIES || ORGANIC GINGER SNAPS
322,prune,juice,72,,FORM,"PRUNE 100% JUICE, PRUNE || SPARTAN, 100% PRUNE JUICE"
323,organics,organic,71,,BRAND_NOISE,"OMENA ORGANICS, ORGANIC SWEETENED APPLE SAUCE || WEIS ORGANICS, ORGANIC BANANA CHIPS"
324,pork,carnitas,71,CATEGORY,,"PORK CARNITAS BURRITO, PORK CARNITAS || PORK CARNITAS BURRITO, PORK CARNITAS"
325,sprinkled,with,71,,STOPWORD,"UNICORN CUPCAKES WITH A MAGICAL SWIRL OF PINK AND BLUE VANILLA FLAVORED ICING SPRINKLED WI || PEPPERMINT 72% CACAO LAYERED DARK AND WHITE CHOCOLATE HAND-SPRINKLED WITH CANDY CANE BAR, "
326,bird,eggs,71,,FORM,"SPICED JELLY BIRD EGGS, SPICED || SPICED JELLY BIRD EGGS"
327,dispenser,with,71,,STOPWORD,"GALERIE, DISNEY FROZEN, DISPENSER WITH CANDY PIECES, FRUIT, FRUIT || GALERIE, DISPENSER WITH CANDY PIECES"
328,scalloped,potatoes,71,,CATEGORY,SCALLOPED POTATOES || Betty Crocker Cheesy Scalloped Potatoes
329,muir,glen,71,,,"MUIR GLEN, TOMATO KETCHUP || Muir Glen Organic Portabella Mushroom Pasta Sauce"
330,puffed,wheat,71,,CATEGORY,"GRANVITA, PUFFITOS, WHOLE GRAIN PUFFED WHEAT CEREAL, HONEY, HONEY || LEANWAY A CRUNCHY BLEND OF FIBER TWIGS, SOY PROTEIN CRISPS & HONEY PUFFED WHEAT HIGH FIBER"
331,sheep,milk,71,,FORM,"FRENCH RESERVE SHEEP'S MILK SOFT RIPENED BRIE CHEESE, FRENCH RESERVE || FRENCH SOFT SHEEP'S MILK CHEESE RIPENED IN BRINE"
332,breast,tenderloins,71,CUT,,CHICKEN BREAST TENDERLOINS || CHICKEN BREAST TENDERLOINS
333,snack,factory,71,AUDIENCE,,"Snack Factory Sea Salt Bites, 9 Oz Bag || Snack Factory Spicy Ranch Bites, 9 Oz Bag"
334,jimmy,dean,70,,,"Jimmy Dean Simple Scrambles Bacon, 5.35 oz. || Jimmy Dean Canadian Bacon, Whole Cracked Egg & Cheese English Muffin Sandwiches, 8 Count ("
335,general,mills,70,,,"General Mills Cheesy Breadsticks || GENERAL MILLS, CINNAMON TOAST CRUNCH, MILK 'N CEREAL BARS, CINNAMON TOAST CRUNCH, CINNAMON"
336,gold,standard,70,BRAND_NOISE,,"BANANA CREAM FLAVORED GOLD STANDARD 100% CASEIN PROTEIN POWDER DRINK MIX, BANANA CREAM || GOLD STANDARD 100% WHEY FOR MUSCLE SUPPORT & RECOVERY PROTEIN 24 G BCAAS 5.5 G PROTEIN POW"
337,my,essentials,70,STOPWORD,,"MY ESSENTIALS, CUT GREEN BEANS || MY ESSENTIALS, OLD FASHIONED OATS, 100% WHOLE GRAIN OATS"
338,protein,isolate,70,DIET,,"FUDGE BROWNIE FLAVORED ISO100 HYDROLYZED 100% WHEY PROTEIN ISOLATE PROTEIN POWDER, FUDGE B || BIRTHDAY CAKE FLAVORED ISO100 HYDROLYZED 100% WHEY PROTEIN ISOLATE PROTEIN POWDER, BIRTHDA"
339,kellogg,eggo,70,STOPWORD,,Kellogg's Eggo Pancakes Blueberry 3.03oz 72ct || Kellogg's Eggo Pancakes Blueberry 3.03oz
340,jelly,bird,70,FORM,,"SPICED JELLY BIRD EGGS, SPICED || SPICED JELLY BIRD EGGS"
341,coffee,mate,70,FORM,,COFFEE MATE Liquid Amaretto 32floz Yaya Bottle || COFFEE MATE Liquid Natural Bliss Sweet Creme 46floz Bottle
342,grilling,sauce,70,,FORM,"DADDY'S GERMAN MILD GLAZE & GRILLING SAUCE, DADDY'S GERMAN || PEACH BALSAMIC GRILLING SAUCE, PEACH BALSAMIC"
343,deviled,egg,70,,FORM,"DEVILED EGG SALAD SANDWICH, DEVILED EGG SALAD || DEVILED EGG SALAD SANDWICH, DEVILED EGG SALAD"
344,newman,own,69,,STOPWORD,"NEWMAN'S OWN, APRICOTS || NEWMAN'S OWN, ORGANIC BLACK LICORICE TWISTS"
345,bacon,lo,69,CATEGORY,,Hardwood Smoked Sugar Cured Buffet Bacon-LO-Gas Flushed 14/18 15# || Hardwood Smoked Sugar Cured Buffet Bacon-LO-Gas Flushed 18/22 15# M
346,jelly,belly,69,FORM,,"LUNDS & BYERLYS, JELLY BELLY BEANS CONFECTIONS || JELLY BELLY, SPARKLING JELLY BEAR"
347,skillet,meals,69,,,"BEEF LO MEIN WITH BEEF, BOK CHOY, ONIONS AND CARROTS SKILLET MEALS, BEEF LO MEIN || Birds Eye Voila! Beef Lo Mein Skillet Meals, Frozen Meal, 21 oz. Bag"
348,ginseng,and,69,,STOPWORD,"GINSENG AND HONEY GREEN TEA || GREEN TEA WITH GINSENG AND HONEY, GINSENG AND HONEY"
349,thinly,sliced,68,,PREPARATION_STATE,"CORNED BEEF SLOWLY SIMMERED, EXPERTLY SEASONED, THINLY-SLICED CORNED BEEF BRISKET WITH POT || ORIGINAL THINLY SLICED BEEF BRISKET WITH JACK DANIEL'S BBQ SAUCE, ORIGINAL"
350,kalamata,olive,68,,CATEGORY,"KALAMATA OLIVE FOCACCIA ARTISAN-STYLE FLATBREAD || KALAMATA OLIVE & ROSEMARY FOCACCIA BREAD, KALAMATA OLIVE & ROSEMARY"
351,pub,style,68,,STOPWORD,PUB STYLE PRETZEL BREAD MIX || STEAK & ALE HEARTY BEEF AND RICH BROWN ALE GRAVY WITH GOLDEN POTATOES AND CARROTS IN A FLA
352,ginger,snap,68,CATEGORY,,"GINGER SNAP & APPLE PROTEIN BAR READY MIX, GINGER SNAP & APPLE || GINGER SNAP & APPLE PROTEIN BAR READY MIX, GINGER SNAP & APPLE"
353,denali,original,68,,FLAVOR_UNIVERSAL,"CHURN LIGHT STYLE ICE CREAM, DENALI ORIGINAL MOOSE TRACKS || DENALI ""ORIGINAL"" VANILLA ICE CREAM WITH PEANUT BUTTER CUPS AND FAMOUS MOOSE TRACKS FUDGE,"
354,style,wedding,68,STOPWORD,,"BERTOLLI, MEAL SOUP FOR 2, ITALIAN-STYLE WEDDING || BERTOLLI Italian Style Wedding Soup, 24 OZ"
355,coconut,macaroon,67,CATEGORY,,"COCONUT SECRET, ORGANIC COCONUT MACAROON BAR, COCONUT, COCONUT || UBER FRUIT & NUT BAR, COCONUT MACAROON"
356,valentine,day,67,FLAVOR_UNIVERSAL,,"FUDGE FLAVORED ICED VALENTINE'S DAY BROWNIE PLATTER, FUDGE || VALENTINE'S DAY MINI CUPCAKES, VALENTINE'S DAY"
357,beer,float,67,CATEGORY,,"ROOT BEER FLOAT CAKE, ROOT BEER || CANDY, ROOT BEER FLOAT"
358,tootsie,roll,67,,STOPWORD,"TOOTSIE ROLL CHILD'S PLAY CANDY, 56 OZ || TOOTSIE ROLL CHILD'S PLAY CANDY, 26 OZ"
359,porcini,mushroom,67,,CATEGORY,"PORCINI MUSHROOM COOKS LIKE RISOTTO, PORCINI MUSHROOM || PORCINI MUSHROOM COOKS LIKE RISOTTO, PORCINI MUSHROOM"
360,medjool,dates,67,,CATEGORY,MINI MEDJOOLS SWEET MEDJOOL DATES MIXED WITH CACAO AND ROLLED IN COCONUT || WHOLE FRESH MEDJOOL DATES
361,cadia,organic,66,,BRAND_NOISE,"CADIA, ORGANIC ORIGINAL ALMONDMILK || CADIA, ORGANIC BLACK BEANS"
362,fresh,easy,66,STOPWORD,,"FRESH & EASY, GARBANZO BEANS || FRESH & EASY, BEANS"
363,with,buttercreme,66,STOPWORD,,"MINT CHOCOLATE CAKE WITH BUTTERCREME FROSTING, MINT CHOCOLATE || WHITE CUPCAKES WITH BUTTERCREME ICING, BUTTERCREME ICING"
364,extreme,sour,66,,STOPWORD,"TROLLI, EXTREME SOUR FRUITZ BITES, CHEWY CANDY, SOUR BLUE RASPBERRY, SOUR GREEN APPLE, SOU || EXTREME SOUR BITES CHEWY CANDY, FRUITZ"
365,nutri,grain,66,,CATEGORY,Kellogg's Nutri-Grain Cereal Bars Pumpkin Spice 1.3oz || Kellogg's Nutri-Grain Cereal Bars Chocolate Chip 1.4oz
366,cocoa,dusted,65,FLAVOR_UNIVERSAL,,"PEPPERMINT HOT COCOA INDULGENT TRAIL MIX WITH COCOA DUSTED AND SWEET CREME ALMONDS, WHITE  || Woolworths Cocoa Dusted Milk Chocolate Almonds 150g"
367,meringue,pie,65,,FORM,"LEMON MERINGUE PIE FLAVORED PROTEIN BAR, LEMON MERINGUE PIE || LEMON MERINGUE PIE FLAVORED PROTEIN BAR, LEMON MERINGUE PIE"
368,per,serving,65,,STOPWORD,"Van Camp's Pork and Beans Microwavable Cups, 6g Protein Per Serving, 7.25 oz. Cup || Libby's Corned Beef, 14g Protein Per Serving, Canned Meat, 25% Less Sodium, 12 oz. Can"
